credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,es_moroso,probabilidad_mora,prediccion_mora,fecha_id
CR000033,CL00034,2026-02-01,Microcrédito,700000,6,0.0255,127000,App,811,0.083,Automática,Activo,0,0.6523421278017248,1,20260201
CR000034,CL00034,2025-08-01,Crédito libre inversión,1200000,12,0.0332,123000,Web,730,0.0804,Automática,Mora moderada,1,0.8730543493207524,1,20250801
CR000035,CL00035,2025-03-21,Crédito consumo digital,4050000,6,0.0373,766000,Web,900,0.152,Automática,Finalizado,0,0.29544132853130034,0,20250321
CR000036,CL00036,2025-09-29,Crédito consumo digital,950000,12,0.0211,90000,Aliado,572,0.0448,Manual,Activo,0,0.4105115805063472,0,20250929
CR000037,CL00036,2025-11-03,Crédito libre inversión,6550000,6,0.0248,1188000,App,462,0.591,Excepción,Activo,0,0.6486816635581275,1,20251103
CR000038,CL00037,2025-10-10,Crédito libre inversión,6450000,6,0.0267,1178000,Web,889,0.5746,Excepción,Mora moderada,1,0.7831106849205263,1,20251010
CR000039,CL00038,2025-09-19,Crédito consumo digital,1900000,12,0.0338,195000,App,679,0.0759,Automática,Mora severa,1,0.8117667499641882,1,20250919
CR000040,CL00039,2025-11-29,Crédito consumo digital,2650000,6,0.0263,483000,App,854,0.1543,Automática,Activo,0,0.3504132238365494,0,20251129
CR000041,CL00039,2024-06-27,Crédito libre inversión,4450000,12,0.0183,417000,App,864,0.1332,Automática,Mora moderada,1,0.4717834026956459,0,20240627
CR000042,CL00040,2025-09-01,Microcrédito,2350000,3,0.0408,848000,App,900,0.2024,Automática,Mora severa,1,0.42582339265214747,0,20250901
CR000043,CL00040,2026-01-09,Avance de nómina,1800000,6,0.0187,320000,Web,840,0.0764,Automática,Activo,0,0.2513647919198319,0,20260109
CR000044,CL00041,2023-10-04,Microcrédito,3800000,3,0.0396,1368000,App,827,0.45,Manual,Finalizado,0,0.3582021725318985,0,20231004
CR000045,CL00042,2026-03-26,Microcrédito,700000,18,0.036,53000,Aliado,750,0.0296,Automática,Activo,0,0.2346021328878525,0,20260326
CR000046,CL00043,2025-03-30,Crédito consumo digital,1550000,9,0.0294,199000,Call center,900,0.0812,Automática,Finalizado,0,0.31663263649861867,0,20250330
CR000047,CL00044,2026-01-05,Crédito consumo digital,1150000,12,0.0308,116000,Aliado,900,0.0391,Automática,Activo,0,0.20934061600606885,0,20260105
CR000048,CL00044,2025-09-09,Avance de nómina,900000,3,0.0192,312000,Aliado,900,0.1051,Automática,Finalizado,0,0.23110655758626847,0,20250909
CR000049,CL00045,2024-11-13,Crédito consumo digital,700000,3,0.0224,244000,App,787,0.0949,Automática,Finalizado,0,0.45556731769190145,0,20241113
CR000050,CL00046,2025-07-23,Crédito consumo digital,1850000,12,0.0298,186000,App,811,0.0724,Automática,Activo,0,0.20689308573204057,0,20250723
CR000051,CL00047,2025-10-26,Crédito libre inversión,3250000,18,0.0247,226000,Call center,786,0.1378,Automática,Activo,0,0.6170896100288703,1,20251026
CR000052,CL00048,2026-01-30,Crédito consumo digital,1650000,6,0.027,302000,Call center,800,0.1175,Automática,Activo,0,0.2758832269751806,0,20260130
CR000053,CL00050,2025-05-11,Crédito libre inversión,3750000,12,0.0186,351000,App,803,0.1526,Automática,Mora moderada,1,0.7502565378639087,1,20250511
CR000054,CL00051,2025-12-12,Crédito libre inversión,7550000,3,0.0335,2687000,App,726,0.9842,Excepción,Mora moderada,1,0.7790895701602342,1,20251212
CR000055,CL00052,2025-06-28,Crédito consumo digital,3250000,6,0.0325,605000,Aliado,782,0.1576,Automática,Mora moderada,1,0.42824550723030985,0,20250628
CR000056,CL00054,2025-01-05,Crédito consumo digital,1400000,12,0.0252,137000,Web,809,0.0628,Automática,Mora moderada,1,0.5217995985685244,1,20250105
CR000057,CL00056,2025-10-23,Crédito consumo digital,2050000,6,0.0217,368000,App,900,0.1553,Automática,Finalizado,0,0.4110755221834984,0,20251023
CR000058,CL00056,2026-03-30,Avance de nómina,1050000,6,0.0314,195000,App,874,0.0823,Automática,Activo,0,0.27278329331902745,0,20260330
CR000059,CL00057,2024-11-12,Microcrédito,1100000,9,0.0389,147000,Web,775,0.0739,Automática,Mora moderada,1,0.7673180740775203,1,20241112
CR000060,CL00058,2024-05-02,Microcrédito,3300000,6,0.0263,602000,App,849,0.2427,Automática,Finalizado,0,0.3747847496257693,0,20240502
CR000061,CL00059,2026-01-05,Crédito consumo digital,1750000,9,0.0346,230000,Call center,860,0.105,Automática,Activo,0,0.2221408270502251,0,20260105
CR000062,CL00059,2025-06-27,Avance de nómina,1400000,12,0.0273,138000,App,815,0.063,Automática,Activo,0,0.37674059767016066,0,20250627
CR000063,CL00059,2026-03-27,Crédito libre inversión,1600000,12,0.0306,161000,App,886,0.0735,Automática,Activo,0,0.22943002549000513,0,20260327
CR000064,CL00060,2026-02-06,Crédito consumo digital,3350000,9,0.0228,416000,App,900,0.1115,Automática,Activo,0,0.18994006711745545,0,20260206
CR000065,CL00061,2024-03-09,Crédito consumo digital,1150000,6,0.0321,214000,App,848,0.096,Automática,Finalizado,0,0.31446374916033487,0,20240309
CR000066,CL00062,2025-12-17,Avance de nómina,700000,9,0.0229,87000,App,870,0.0361,Automática,Activo,0,0.3529840148692503,0,20251217
CR000067,CL00063,2023-08-08,Crédito consumo digital,2150000,12,0.0305,217000,App,748,0.0702,Automática,Mora moderada,1,0.6789069336874081,1,20230808
CR000068,CL00064,2025-08-03,Crédito libre inversión,7800000,12,0.0309,788000,App,808,0.2765,Automática,Mora severa,1,0.7576450413660373,1,20250803
CR000069,CL00065,2026-03-20,Microcrédito,5200000,6,0.033,969000,App,900,0.1541,Automática,Activo,0,0.17328977500698764,0,20260320
CR000070,CL00065,2025-04-08,Crédito consumo digital,5500000,3,0.0355,1965000,App,900,0.3124,Automática,Mora severa,1,0.40231556414690256,0,20250408
CR000071,CL00067,2025-07-07,Crédito consumo digital,2800000,9,0.024,350000,Aliado,900,0.0882,Automática,Finalizado,0,0.29013803307115776,0,20250707
CR000072,CL00067,2025-01-16,Crédito consumo digital,2600000,6,0.0301,480000,Aliado,900,0.1209,Automática,Finalizado,0,0.3227640188404173,0,20250116
CR000073,CL00068,2024-10-03,Crédito consumo digital,3200000,12,0.0333,328000,Call center,900,0.0682,Automática,Finalizado,0,0.15515582152841523,0,20241003
CR000074,CL00069,2024-05-11,Crédito libre inversión,2900000,6,0.0266,529000,Aliado,754,0.258,Automática,Finalizado,0,0.6352518148677815,1,20240511
CR000075,CL00072,2025-08-31,Crédito libre inversión,3350000,9,0.0259,422000,App,889,0.1796,Automática,Activo,0,0.2587611756319923,0,20250831
CR000076,CL00073,2026-01-07,Avance de nómina,800000,12,0.0265,79000,Web,844,1.2,Automática,Mora moderada,1,0.625814022776843,1,20260107
CR000077,CL00074,2025-06-24,Crédito consumo digital,4300000,9,0.0383,574000,Call center,900,0.0939,Automática,Finalizado,0,0.1386774348139706,0,20250624
CR000078,CL00075,2026-01-08,Crédito consumo digital,1400000,6,0.0293,258000,Call center,880,0.0733,Automática,Activo,0,0.22224254127315696,0,20260108
CR000079,CL00076,2024-10-22,Microcrédito,900000,12,0.0306,91000,App,810,0.0384,Automática,Mora moderada,1,0.5895152489350817,1,20241022
CR000080,CL00077,2025-05-15,Crédito consumo digital,650000,6,0.0277,119000,App,725,0.0613,Automática,Mora severa,1,0.6418921639381262,1,20250515
CR000081,CL00077,2025-08-25,Avance de nómina,1000000,12,0.0296,100000,App,870,0.0515,Automática,Activo,0,0.5262639473480584,1,20250825
CR000082,CL00078,2025-11-06,Crédito consumo digital,1850000,6,0.0227,333000,Aliado,900,0.1041,Automática,Activo,0,0.2915865818114751,0,20251106
CR000083,CL00079,2025-08-17,Microcrédito,600000,6,0.0343,112000,App,832,0.0457,Automática,Finalizado,0,0.4696459065118979,0,20250817
CR000084,CL00080,2026-03-12,Crédito libre inversión,7700000,9,0.0264,973000,Call center,798,0.4746,Manual,Activo,0,0.40878456067112284,0,20260312
CR000085,CL00081,2025-12-29,Crédito consumo digital,1450000,12,0.0388,153000,App,608,0.0827,Manual,Activo,0,0.5140630630651555,1,20251229
CR000086,CL00082,2023-06-24,Crédito libre inversión,5550000,9,0.0304,714000,App,846,0.2412,Automática,Mora severa,1,0.5491961855532425,1,20230624
CR000087,CL00083,2025-12-01,Crédito libre inversión,2350000,6,0.0254,427000,Aliado,759,0.1787,Automática,Activo,0,0.5739157298825807,1,20251201
CR000088,CL00086,2025-06-13,Crédito libre inversión,4050000,3,0.0306,1433000,Call center,675,0.549,Manual,Finalizado,0,0.5650718100605087,1,20250613
CR000089,CL00088,2025-07-04,Crédito consumo digital,1100000,6,0.0284,202000,App,863,0.1074,Automática,Finalizado,0,0.606287828647418,1,20250704
CR000090,CL00089,2025-12-13,Crédito consumo digital,1600000,3,0.0282,564000,App,617,0.5127,Manual,Finalizado,0,0.4926296971886449,0,20251213
CR000091,CL00089,2026-03-03,Crédito libre inversión,1050000,18,0.0204,70000,Web,628,0.0636,Automática,Activo,0,0.4697478551135643,0,20260303
CR000092,CL00091,2026-02-07,Crédito consumo digital,1000000,3,0.0202,347000,Aliado,864,0.1896,Automática,Activo,0,0.3253028297368838,0,20260207
CR000093,CL00092,2024-08-16,Crédito consumo digital,6950000,6,0.0213,1246000,Aliado,900,0.2351,Automática,Finalizado,0,0.27732436939894034,0,20240816
CR000094,CL00093,2023-10-03,Crédito libre inversión,5400000,9,0.0225,669000,App,900,0.1436,Automática,Finalizado,0,0.4950189971210728,0,20231003
CR000095,CL00093,2024-08-04,Microcrédito,4150000,12,0.0325,423000,App,900,0.0908,Automática,Finalizado,0,0.39695969127713776,0,20240804
CR000096,CL00093,2025-12-15,Crédito consumo digital,2450000,12,0.023,236000,Aliado,900,0.0506,Automática,Activo,0,0.2716033204872279,0,20251215
CR000097,CL00094,2025-07-21,Crédito consumo digital,450000,3,0.0247,157000,Aliado,760,0.1256,Automática,Finalizado,0,0.4712677878495905,0,20250721
CR000098,CL00095,2025-10-31,Crédito libre inversión,3300000,24,0.0327,200000,App,877,0.0778,Automática,Mora moderada,1,0.4503407823325376,0,20251031
CR000099,CL00095,2023-09-10,Crédito libre inversión,2950000,18,0.0181,194000,App,859,0.0755,Automática,Finalizado,0,0.43553362791239786,0,20230910
CR000100,CL00096,2026-01-27,Crédito consumo digital,2950000,3,0.0289,1041000,Web,891,0.2361,Automática,Finalizado,0,0.12635014990204504,0,20260127
CR000101,CL00096,2024-12-09,Crédito libre inversión,4850000,6,0.0235,876000,Aliado,900,0.1986,Automática,Finalizado,0,0.4477148937590718,0,20241209
CR000102,CL00097,2024-10-01,Microcrédito,3350000,9,0.0413,453000,Call center,724,0.2157,Automática,Mora severa,1,0.8262602492411851,1,20241001
CR000103,CL00099,2026-01-16,Avance de nómina,1000000,9,0.0211,123000,App,886,0.0355,Automática,Activo,0,0.14701939677489248,0,20260116
CR000104,CL00100,2024-03-01,Avance de nómina,1000000,9,0.0219,124000,App,900,0.0286,Automática,Mora severa,1,0.318395510779478,0,20240301
CR000105,CL00101,2025-09-03,Avance de nómina,1950000,9,0.0267,247000,Web,858,0.0911,Automática,Activo,0,0.25882153609081804,0,20250903
CR000106,CL00102,2025-07-27,Avance de nómina,550000,12,0.0262,54000,App,707,0.0482,Automática,Activo,0,0.5988672921544979,1,20250727
CR000107,CL00103,2025-04-11,Microcrédito,1850000,12,0.0273,183000,Aliado,853,0.0614,Automática,Mora moderada,1,0.29062796939035024,0,20250411
CR000108,CL00104,2025-10-12,Crédito consumo digital,1000000,3,0.0254,350000,Aliado,852,0.1311,Automática,Finalizado,0,0.3909054604435647,0,20251012
CR000109,CL00104,2026-03-21,Crédito consumo digital,1500000,6,0.0308,278000,Aliado,885,0.1041,Automática,Activo,0,0.1108090888738694,0,20260321
CR000110,CL00105,2025-08-24,Microcrédito,4750000,24,0.0391,309000,App,883,0.1202,Automática,Activo,0,0.3217639230137852,0,20250824
CR000111,CL00106,2025-09-25,Microcrédito,3150000,12,0.0385,333000,Web,900,0.0626,Automática,Activo,0,0.2004346645044982,0,20250925
CR000112,CL00107,2025-09-10,Microcrédito,1800000,12,0.0272,178000,App,885,0.0693,Automática,Activo,0,0.5825683569920469,1,20250910
CR000113,CL00108,2026-01-06,Crédito libre inversión,2400000,24,0.0217,129000,Web,831,0.0502,Automática,Activo,0,0.5751215566517389,1,20260106
CR000114,CL00108,2026-02-08,Crédito consumo digital,900000,12,0.035,93000,Web,876,0.0362,Automática,Activo,0,0.30416376957119823,0,20260208
CR000115,CL00108,2025-07-13,Microcrédito,3500000,12,0.0371,367000,App,853,0.1428,Automática,Activo,0,0.6592371078923787,1,20250713
CR000116,CL00109,2025-01-07,Crédito consumo digital,750000,9,0.0343,98000,App,838,0.0402,Automática,Finalizado,0,0.47696385749729087,0,20250107
CR000117,CL00109,2025-05-15,Crédito consumo digital,750000,6,0.0247,136000,Aliado,895,0.0557,Automática,Mora severa,1,0.4787091277877739,0,20250515
CR000118,CL00110,2025-11-12,Crédito libre inversión,1400000,9,0.0195,171000,App,746,0.0847,Automática,Activo,0,0.7044634539595038,1,20251112
CR000119,CL00111,2024-05-11,Crédito consumo digital,900000,9,0.0356,119000,Web,742,0.0753,Automática,Mora moderada,1,0.8414245735801309,1,20240511
CR000120,CL00113,2025-08-04,Microcrédito,2050000,3,0.0379,736000,Call center,850,0.1524,Automática,Finalizado,0,0.24277877698384573,0,20250804
CR000121,CL00114,2023-07-09,Crédito libre inversión,7800000,9,0.0181,947000,Aliado,900,0.1821,Automática,Finalizado,0,0.19976078607176173,0,20230709
CR000122,CL00115,2025-06-25,Microcrédito,7950000,12,0.0319,808000,Aliado,715,0.2825,Automática,Mora moderada,1,0.6433858966857533,1,20250625
CR000123,CL00116,2024-11-29,Crédito libre inversión,1450000,3,0.0243,507000,Aliado,609,0.1928,Manual,Finalizado,0,0.34812252935020854,0,20241129
CR000124,CL00117,2025-06-26,Crédito libre inversión,2150000,12,0.0276,213000,App,853,0.0734,Automática,Activo,0,0.3103055259670385,0,20250626
CR000125,CL00119,2025-06-12,Crédito libre inversión,2700000,18,0.0267,191000,Call center,889,0.099,Automática,Mora moderada,1,0.57211740374296,1,20250612
CR000126,CL00120,2026-03-10,Crédito libre inversión,4200000,12,0.0339,432000,Aliado,900,0.1681,Automática,Activo,0,0.22255357106795376,0,20260310
CR000127,CL00121,2025-09-03,Microcrédito,1250000,6,0.0399,238000,App,657,0.2674,Automática,Mora moderada,1,0.5892174049145997,1,20250903
CR000128,CL00123,2025-08-14,Microcrédito,6400000,12,0.0312,648000,Aliado,900,0.1403,Automática,Activo,0,0.29672887194710923,0,20250814
CR000129,CL00123,2024-09-27,Crédito consumo digital,1950000,12,0.0255,191000,Aliado,900,0.0413,Automática,Finalizado,0,0.21326132009732449,0,20240927
CR000130,CL00125,2025-07-17,Crédito consumo digital,2250000,9,0.0252,283000,App,865,0.0515,Automática,Finalizado,0,0.2018908412260576,0,20250717
CR000131,CL00126,2025-08-03,Crédito consumo digital,750000,9,0.0213,92000,Web,855,0.0398,Automática,Mora severa,1,0.508661187825351,1,20250803
CR000132,CL00127,2024-06-22,Crédito consumo digital,1850000,6,0.0255,336000,App,858,0.1057,Automática,Mora severa,1,0.7052341197985994,1,20240622
CR000133,CL00127,2025-01-14,Crédito consumo digital,900000,3,0.0309,319000,App,803,0.1003,Automática,Finalizado,0,0.3177545575569108,0,20250114
CR000134,CL00128,2024-07-03,Crédito consumo digital,1150000,6,0.0239,208000,App,804,0.0589,Automática,Finalizado,0,0.2654261117865588,0,20240703
CR000135,CL00130,2024-07-22,Crédito consumo digital,600000,3,0.0324,213000,App,822,0.1392,Automática,Finalizado,0,0.6546302087634795,1,20240722
CR000136,CL00131,2024-12-21,Crédito consumo digital,1150000,24,0.0337,71000,App,840,0.0281,Automática,Mora moderada,1,0.6205766599360096,1,20241221
CR000137,CL00133,2024-05-09,Crédito consumo digital,700000,6,0.0362,132000,App,798,0.066,Automática,Mora moderada,1,0.5854990453772144,1,20240509
CR000138,CL00134,2025-03-05,Crédito consumo digital,2800000,12,0.0348,289000,App,777,0.1055,Automática,Finalizado,0,0.2379182291773351,0,20250305
CR000139,CL00135,2026-01-01,Crédito consumo digital,2250000,12,0.0206,214000,App,900,0.0575,Automática,Activo,0,0.22012099610272695,0,20260101
CR000140,CL00137,2026-02-04,Microcrédito,2000000,12,0.0334,205000,App,658,0.1694,Automática,Activo,0,0.4865438545329663,0,20260204
CR000141,CL00138,2025-12-31,Crédito consumo digital,1600000,3,0.0322,568000,Web,900,0.1919,Automática,Finalizado,0,0.22867373513826944,0,20251231
CR000142,CL00139,2023-09-06,Microcrédito,2250000,24,0.0297,132000,App,723,0.0545,Automática,Mora severa,1,0.6884038983027776,1,20230906
CR000143,CL00140,2024-04-21,Microcrédito,3500000,9,0.0434,478000,Aliado,806,0.1382,Automática,Finalizado,0,0.45921891025294165,0,20240421
CR000144,CL00140,2024-02-27,Avance de nómina,900000,6,0.0262,164000,Web,861,0.0474,Automática,Finalizado,0,0.25492812779815655,0,20240227
CR000145,CL00141,2025-08-27,Microcrédito,2000000,6,0.0406,382000,App,705,0.1882,Automática,Mora severa,1,0.6148090705315395,1,20250827
CR000146,CL00142,2025-09-06,Microcrédito,10200000,12,0.0385,1078000,Web,900,0.1939,Automática,Activo,0,0.14791569321120893,0,20250906
CR000147,CL00142,2025-10-04,Crédito consumo digital,3300000,18,0.0371,255000,Aliado,900,0.0459,Automática,Activo,0,0.09528134905341407,0,20251004
CR000148,CL00144,2026-01-16,Crédito consumo digital,550000,24,0.023,30000,Call center,821,0.0101,Automática,Activo,0,0.3626387588939013,0,20260116
CR000149,CL00145,2024-04-20,Crédito consumo digital,1350000,12,0.0291,135000,Web,834,0.0823,Automática,Mora severa,1,0.8288665112159574,1,20240420
CR000150,CL00146,2024-07-13,Crédito consumo digital,1150000,12,0.0382,121000,App,829,0.042,Automática,Mora severa,1,0.6235878434111868,1,20240713
CR000151,CL00146,2024-02-09,Crédito consumo digital,550000,9,0.0388,74000,App,874,0.0257,Automática,Mora severa,1,0.6309695090934561,1,20240209
CR000152,CL00148,2025-04-25,Avance de nómina,1500000,12,0.0237,145000,App,776,0.0665,Automática,Mora moderada,1,0.6404453306513616,1,20250425
CR000153,CL00149,2026-01-08,Microcrédito,1850000,3,0.031,655000,Web,831,0.1809,Automática,Finalizado,0,0.2853152005157695,0,20260108
CR000154,CL00150,2025-07-16,Microcrédito,3700000,6,0.0448,717000,App,874,0.1707,Automática,Finalizado,0,0.30429007379895434,0,20250716
CR000155,CL00151,2026-01-05,Microcrédito,3250000,6,0.0273,595000,Web,678,0.3814,Manual,Activo,0,0.5516116290492608,1,20260105
CR000156,CL00152,2026-01-23,Avance de nómina,400000,6,0.0206,72000,App,819,0.0266,Automática,Activo,0,0.2186956141594254,0,20260123
CR000157,CL00152,2025-05-08,Crédito consumo digital,1050000,12,0.0233,101000,App,900,0.0373,Automática,Activo,0,0.2784639113071318,0,20250508
CR000158,CL00153,2025-10-18,Avance de nómina,250000,9,0.021,31000,Call center,808,0.0156,Automática,Activo,0,0.4322178957302874,0,20251018
CR000159,CL00153,2024-04-20,Crédito libre inversión,1500000,9,0.0239,187000,App,800,0.094,Automática,Mora moderada,1,0.649109584155112,1,20240420
CR000160,CL00154,2025-08-09,Avance de nómina,450000,6,0.0291,83000,App,828,0.0324,Automática,Finalizado,0,0.259525670565526,0,20250809
CR000161,CL00154,2024-11-02,Crédito consumo digital,2000000,9,0.0243,250000,Aliado,826,0.0977,Automática,Finalizado,0,0.3266261251150193,0,20241102
CR000162,CL00155,2025-11-22,Crédito libre inversión,3700000,12,0.0329,378000,App,750,0.1919,Automática,Activo,0,0.6039577679365739,1,20251122
CR000163,CL00155,2025-12-05,Crédito consumo digital,1000000,9,0.0241,125000,App,823,0.0635,Automática,Activo,0,0.2471308977218302,0,20251205
CR000164,CL00156,2026-02-15,Crédito consumo digital,2350000,12,0.03,236000,Web,888,0.0626,Automática,Activo,0,0.3554515398549177,0,20260215
CR000165,CL00158,2025-06-21,Crédito libre inversión,11500000,6,0.0297,2121000,Web,900,0.3754,Manual,Mora severa,1,0.5285509905376858,1,20250621
CR000166,CL00159,2023-11-16,Avance de nómina,400000,3,0.022,139000,App,861,0.0891,Automática,Finalizado,0,0.37992030364951607,0,20231116
CR000167,CL00161,2025-11-12,Microcrédito,1400000,3,0.0289,494000,App,828,0.3088,Automática,Finalizado,0,0.48544967496453334,0,20251112
CR000168,CL00163,2025-11-04,Crédito libre inversión,4900000,6,0.0294,903000,Call center,834,0.2648,Automática,Finalizado,0,0.300321823401903,0,20251104
CR000169,CL00164,2025-07-13,Microcrédito,1950000,12,0.0364,203000,Aliado,900,0.0781,Automática,Activo,0,0.21995457244688765,0,20250713
CR000170,CL00165,2024-06-06,Microcrédito,2200000,3,0.0274,774000,App,899,0.2538,Automática,Finalizado,0,0.11044836263465102,0,20240606
CR000171,CL00165,2024-12-01,Crédito consumo digital,1450000,18,0.0389,113000,App,900,0.037,Automática,Activo,0,0.15622909567880067,0,20241201
CR000172,CL00166,2026-02-17,Crédito consumo digital,1400000,3,0.0329,498000,App,900,0.1586,Automática,Activo,0,0.326066277673769,0,20260217
CR000173,CL00167,2024-09-01,Microcrédito,1950000,3,0.0351,696000,Aliado,746,0.2559,Automática,Finalizado,0,0.44528200888574737,0,20240901
CR000174,CL00167,2023-05-29,Crédito consumo digital,850000,9,0.0291,109000,Aliado,765,0.0401,Automática,Mora moderada,1,0.7035548844818239,1,20230529
CR000175,CL00168,2024-04-25,Crédito consumo digital,1400000,6,0.0324,261000,Call center,900,0.0942,Automática,Finalizado,0,0.5863298577259175,1,20240425
CR000176,CL00169,2025-01-24,Avance de nómina,550000,6,0.0195,98000,Aliado,860,0.0274,Automática,Finalizado,0,0.08647281301231392,0,20250124
CR000177,CL00170,2024-10-14,Crédito libre inversión,3100000,6,0.0198,553000,App,793,0.2333,Automática,Finalizado,0,0.7857824918761829,1,20241014
CR000178,CL00172,2025-10-24,Avance de nómina,1650000,6,0.0319,306000,Aliado,873,0.0789,Automática,Finalizado,0,0.20946653215267574,0,20251024
CR000179,CL00173,2025-03-25,Crédito consumo digital,1700000,6,0.0298,314000,Call center,896,0.1303,Automática,Finalizado,0,0.3514927153102978,0,20250325
CR000180,CL00173,2023-11-06,Microcrédito,1550000,6,0.0361,292000,Web,762,0.1212,Automática,Finalizado,0,0.5502680455603234,1,20231106
