credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,es_moroso,fecha_registro,departamento,ciudad,edad,genero,estrato,nivel_educativo,ocupacion,ingreso_mensual_estimado,canal_adquisicion,score_externo,tiene_producto_ahorro,numero_dependientes,dispositivo_principal,email_hash,antiguedad_cliente_dias,mes_desembolso,dia_semana_desembolso,prev_evento_actualizacion_datos,prev_evento_consulta_saldo,prev_evento_login,prev_evento_pago_exitoso,prev_evento_pago_fallido,prev_evento_pago_iniciado,prev_evento_simulacion_credito,prev_evento_solicitud_soporte,prev_evento_sesion_seg_tot,prev_evento_sesion_seg_avg,probabilidad_mora,prediccion_mora,ingreso_mensual_bi,flag_ingreso
CR000011,CL00011,2025-09-11,Crédito consumo digital,350000,12,0.0252,34000,App,783,0.0262,Automática,Activo,0,2025-07-30,Antioquia,Medellín,31,F,4,Técnico/Tecnólogo,Desempleado,1300000.0,Referido,573.0,False,1,Android,hash_435299,43,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6179900503890462,1,1300000.0,normal
CR000012,CL00011,2026-01-11,Crédito libre inversión,1300000,12,0.0315,132000,Web,756,0.1015,Automática,Activo,0,2025-07-30,Antioquia,Medellín,31,F,4,Técnico/Tecnólogo,Desempleado,1300000.0,Referido,573.0,False,1,Android,hash_435299,165,1,6,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1137.0,284.25,0.3086754019282153,0,1300000.0,normal
CR000013,CL00012,2025-03-29,Crédito libre inversión,6300000,9,0.0268,797000,Web,870,0.2271,Automática,Finalizado,0,2024-01-24,Antioquia,Medellín,31,M,4,Universitario,Empleado,3510000.0,Campaña digital,665.0,False,0,Android,hash_925626,430,3,5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,880.0,293.3333333333333,0.3385219488302486,0,3510000.0,normal
CR000014,CL00013,2026-01-19,Crédito consumo digital,1700000,6,0.0259,310000,App,866,0.0664,Automática,Activo,0,2024-10-26,Valle del Cauca,Cali,38,M,5,Técnico/Tecnólogo,Empleado,4670000.0,Aliado comercial,692.0,False,0,Android,hash_505105,450,1,0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,738.0,184.5,0.2855260101193327,0,4670000.0,normal
CR000015,CL00014,2026-02-12,Crédito consumo digital,600000,3,0.0222,209000,Web,610,0.275,Manual,Activo,0,2025-09-30,Cundinamarca,Soacha,19,F,1,Técnico/Tecnólogo,Estudiante,760000.0,App orgánico,435.0,False,3,Android,hash_335419,135,2,3,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1037.0,148.14285714285714,0.30074609134380004,0,760000.0,normal
CR000016,CL00015,2025-12-14,Crédito consumo digital,1400000,12,0.0286,139000,App,836,0.0468,Automática,Activo,0,2026-01-02,Antioquia,Medellín,19,M,4,Bachiller,Empleado,2970000.0,App orgánico,506.0,False,4,iOS,hash_479270,-19,12,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5528019481562232,1,2970000.0,normal
CR000017,CL00015,2025-12-13,Crédito libre inversión,4400000,6,0.022,791000,Web,727,0.2663,Automática,Mora severa,1,2026-01-02,Antioquia,Medellín,19,M,4,Bachiller,Empleado,2970000.0,App orgánico,506.0,False,4,iOS,hash_479270,-20,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.669041989932034,1,2970000.0,normal
CR000018,CL00015,2025-12-05,Crédito consumo digital,1450000,9,0.0377,193000,App,868,0.065,Automática,Activo,0,2026-01-02,Antioquia,Medellín,19,M,4,Bachiller,Empleado,2970000.0,App orgánico,506.0,False,4,iOS,hash_479270,-28,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4386599122404454,0,2970000.0,normal
CR000019,CL00016,2024-11-14,Crédito libre inversión,4350000,9,0.0309,561000,App,857,0.2397,Automática,Finalizado,0,2023-03-05,Atlántico,Barranquilla,30,F,2,Sin información,Empleado,2340000.0,Aliado comercial,577.0,True,1,Web,hash_503777,620,11,3,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,650.0,216.66666666666666,0.5088983454257395,1,2340000.0,normal
CR000020,CL00017,2025-10-17,Crédito consumo digital,4200000,9,0.0275,533000,App,894,0.1444,Automática,Activo,0,2024-11-22,Caldas,Manizales,26,F,2,Técnico/Tecnólogo,Empleado,3690000.0,App orgánico,658.0,False,1,iOS,hash_466081,329,10,4,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,897.0,179.4,0.26747154449095595,0,3690000.0,normal
CR000021,CL00018,2024-11-27,Crédito consumo digital,850000,6,0.0234,154000,Call center,874,0.0533,Automática,Finalizado,0,2024-03-23,Antioquia,Medellín,39,M,5,Bachiller,Comerciante,2890000.0,Referido,651.0,False,1,Android,hash_771553,249,11,2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,399.0,133.0,0.31843809638154313,0,2890000.0,normal
CR000022,CL00020,2025-04-07,Crédito consumo digital,1950000,3,0.034,695000,Aliado,900,0.1421,Automática,Finalizado,0,2023-08-14,Bogotá D.C.,Bogotá,22,M,5,Universitario,Empleado,4890000.0,Referido,706.0,True,2,Android,hash_838096,602,4,0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,1.0,1226.0,122.6,0.25439850456088803,0,4890000.0,normal
CR000023,CL00023,2026-01-26,Crédito consumo digital,4100000,9,0.0322,532000,App,900,0.1354,Automática,Activo,0,2025-11-13,Cundinamarca,Soacha,37,F,5,Sin información,Empleado,3930000.0,Referido,669.0,False,0,Android,hash_429231,74,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.29543702968778973,0,3930000.0,normal
CR000024,CL00026,2025-10-28,Crédito consumo digital,2050000,12,0.0308,207000,App,867,0.0674,Automática,Activo,0,2025-10-21,Santander,Bucaramanga,37,F,3,Técnico/Tecnólogo,Independiente,3070000.0,Aliado comercial,618.0,False,0,Android,hash_796454,7,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28916948670137815,0,3070000.0,normal
CR000025,CL00027,2024-03-03,Crédito consumo digital,1300000,12,0.0248,127000,App,845,0.0357,Automática,Mora severa,1,2023-05-23,Bogotá D.C.,Bogotá,24,F,5,Técnico/Tecnólogo,Independiente,3560000.0,Call center,616.0,True,1,iOS,hash_737787,285,3,6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,148.0,74.0,0.49763393893605407,0,3560000.0,normal
CR000026,CL00028,2025-05-15,Crédito consumo digital,850000,12,0.0212,81000,Aliado,708,0.075,Automática,Mora severa,1,2025-11-13,Santander,Bucaramanga,40,F,4,Sin información,Estudiante,1080000.0,Referido,548.0,False,0,iOS,hash_900819,-182,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6719898820184683,1,1080000.0,normal
CR000027,CL00028,2025-10-03,Crédito libre inversión,1950000,6,0.0311,361000,Aliado,667,0.3343,Automática,Finalizado,0,2025-11-13,Santander,Bucaramanga,40,F,4,Sin información,Estudiante,1080000.0,Referido,548.0,False,0,iOS,hash_900819,-41,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6516175261758089,1,1080000.0,normal
CR000028,CL00028,2025-12-20,Crédito libre inversión,2550000,6,0.0284,468000,App,661,0.4333,Manual,Activo,0,2025-11-13,Santander,Bucaramanga,40,F,4,Sin información,Estudiante,1080000.0,Referido,548.0,False,0,iOS,hash_900819,37,12,5,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,506.0,101.2,0.6191236819839557,1,1080000.0,normal
CR000029,CL00029,2025-10-10,Crédito consumo digital,3300000,6,0.0322,614000,App,877,0.1616,Automática,Finalizado,0,2024-05-09,Norte de Santander,Cúcuta,30,F,2,Técnico/Tecnólogo,Microempresario,3800000.0,Call center,645.0,False,0,Android,hash_737938,519,10,4,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1564.0,195.5,0.268965852783461,0,3800000.0,normal
CR000030,CL00030,2025-12-18,Crédito libre inversión,4350000,12,0.0217,416000,App,864,0.1195,Automática,Activo,0,2025-11-06,Cundinamarca,Soacha,33,M,3,Universitario,Empleado,3480000.0,Referido,636.0,False,0,Android,hash_332076,42,12,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,25.0,0.44733063621284286,0,3480000.0,normal
CR000031,CL00031,2026-01-29,Crédito libre inversión,9600000,18,0.0204,643000,Aliado,900,0.1448,Automática,Activo,0,2024-06-03,Bolívar,Cartagena,30,M,3,Universitario,Independiente,4440000.0,Campaña digital,615.0,True,0,Android,hash_403602,605,1,3,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,555.0,92.5,0.44182638756205617,0,4440000.0,normal
CR000032,CL00033,2025-08-11,Crédito consumo digital,4000000,12,0.0383,422000,App,900,0.1275,Automática,Activo,0,2025-07-30,Caldas,Manizales,36,M,4,Bachiller,Independiente,3310000.0,Referido,675.0,False,1,Android,hash_296846,12,8,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,159.0,159.0,0.42279107239706204,0,3310000.0,normal
CR000033,CL00034,2026-02-01,Microcrédito,700000,6,0.0255,127000,App,811,0.083,Automática,Activo,0,2026-01-04,Bogotá D.C.,Bogotá,25,F,1,Técnico/Tecnólogo,Comerciante,1530000.0,Aliado comercial,476.0,True,1,Android,hash_347536,28,2,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,494.0,164.66666666666666,0.6523421278017248,1,1530000.0,normal
CR000034,CL00034,2025-08-01,Crédito libre inversión,1200000,12,0.0332,123000,Web,730,0.0804,Automática,Mora moderada,1,2026-01-04,Bogotá D.C.,Bogotá,25,F,1,Técnico/Tecnólogo,Comerciante,1530000.0,Aliado comercial,476.0,True,1,Android,hash_347536,-156,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8730543493207524,1,1530000.0,normal
CR000035,CL00035,2025-03-21,Crédito consumo digital,4050000,6,0.0373,766000,Web,900,0.152,Automática,Finalizado,0,2024-12-01,Atlántico,Barranquilla,44,M,3,Posgrado,Microempresario,5040000.0,Campaña digital,684.0,False,2,Android,hash_732405,110,3,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,188.0,188.0,0.29544132853130034,0,5040000.0,normal
CR000036,CL00036,2025-09-29,Crédito consumo digital,950000,12,0.0211,90000,Aliado,572,0.0448,Manual,Activo,0,2025-02-16,Cundinamarca,Soacha,24,M,2,Técnico/Tecnólogo,Independiente,2010000.0,Campaña digital,588.0,True,1,Android,hash_647473,225,9,0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,2101.0,175.08333333333334,0.4105115805063472,0,2010000.0,normal
CR000037,CL00036,2025-11-03,Crédito libre inversión,6550000,6,0.0248,1188000,App,462,0.591,Excepción,Activo,0,2025-02-16,Cundinamarca,Soacha,24,M,2,Técnico/Tecnólogo,Independiente,2010000.0,Campaña digital,588.0,True,1,Android,hash_647473,260,11,0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,2101.0,175.08333333333334,0.6486816635581275,1,2010000.0,normal
CR000038,CL00037,2025-10-10,Crédito libre inversión,6450000,6,0.0267,1178000,Web,889,0.5746,Excepción,Mora moderada,1,2025-07-20,Norte de Santander,Cúcuta,38,M,1,Posgrado,Empleado,2050000.0,Campaña digital,601.0,False,1,Android,hash_976533,82,10,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,203.0,0.7831106849205263,1,2050000.0,normal
CR000039,CL00038,2025-09-19,Crédito consumo digital,1900000,12,0.0338,195000,App,679,0.0759,Automática,Mora severa,1,2025-06-29,Antioquia,Medellín,19,F,3,Bachiller,Desempleado,2570000.0,Referido,418.0,False,2,Android,hash_209162,82,9,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,165.0,0.8117667499641882,1,2570000.0,normal
CR000040,CL00039,2025-11-29,Crédito consumo digital,2650000,6,0.0263,483000,App,854,0.1543,Automática,Activo,0,2024-03-21,Tolima,Ibagué,23,M,4,Universitario,Empleado,3130000.0,Campaña digital,670.0,True,2,Android,hash_431119,618,11,5,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1420.0,177.5,0.3504132238365494,0,3130000.0,normal
CR000041,CL00039,2024-06-27,Crédito libre inversión,4450000,12,0.0183,417000,App,864,0.1332,Automática,Mora moderada,1,2024-03-21,Tolima,Ibagué,23,M,4,Universitario,Empleado,3130000.0,Campaña digital,670.0,True,2,Android,hash_431119,98,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4717834026956459,0,3130000.0,normal
CR000042,CL00040,2025-09-01,Microcrédito,2350000,3,0.0408,848000,App,900,0.2024,Automática,Mora severa,1,2025-12-08,Bolívar,Cartagena,38,M,3,Bachiller,Microempresario,4190000.0,App orgánico,610.0,False,2,iOS,hash_831862,-98,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42582339265214747,0,4190000.0,normal
CR000043,CL00040,2026-01-09,Avance de nómina,1800000,6,0.0187,320000,Web,840,0.0764,Automática,Activo,0,2025-12-08,Bolívar,Cartagena,38,M,3,Bachiller,Microempresario,4190000.0,App orgánico,610.0,False,2,iOS,hash_831862,32,1,4,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,559.0,186.33333333333334,0.2513647919198319,0,4190000.0,normal
CR000044,CL00041,2023-10-04,Microcrédito,3800000,3,0.0396,1368000,App,827,0.45,Manual,Finalizado,0,2023-06-28,Atlántico,Barranquilla,43,F,4,Técnico/Tecnólogo,Independiente,3040000.0,Campaña digital,699.0,False,1,Android,hash_795532,98,10,2,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,180.0,60.0,0.3582021725318985,0,3040000.0,normal
CR000045,CL00042,2026-03-26,Microcrédito,700000,18,0.036,53000,Aliado,750,0.0296,Automática,Activo,0,2024-06-07,Bogotá D.C.,Bogotá,38,M,4,Bachiller,Independiente,1790000.0,Referido,587.0,False,4,Android,hash_212701,657,3,3,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1705.0,243.57142857142858,0.2346021328878525,0,1790000.0,normal
CR000046,CL00043,2025-03-30,Crédito consumo digital,1550000,9,0.0294,199000,Call center,900,0.0812,Automática,Finalizado,0,2024-03-07,Santander,Bucaramanga,35,M,5,Técnico/Tecnólogo,Empleado,2450000.0,App orgánico,690.0,False,2,Android,hash_869460,388,3,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,376.0,188.0,0.31663263649861867,0,2450000.0,normal
CR000047,CL00044,2026-01-05,Crédito consumo digital,1150000,12,0.0308,116000,Aliado,900,0.0391,Automática,Activo,0,2024-12-25,Cundinamarca,Soacha,33,F,4,Bachiller,Microempresario,2970000.0,App orgánico,704.0,False,0,Android,hash_791319,376,1,0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1038.0,129.75,0.20934061600606885,0,2970000.0,normal
CR000048,CL00044,2025-09-09,Avance de nómina,900000,3,0.0192,312000,Aliado,900,0.1051,Automática,Finalizado,0,2024-12-25,Cundinamarca,Soacha,33,F,4,Bachiller,Microempresario,2970000.0,App orgánico,704.0,False,0,Android,hash_791319,258,9,1,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,866.0,123.71428571428571,0.23110655758626847,0,2970000.0,normal
CR000049,CL00045,2024-11-13,Crédito consumo digital,700000,3,0.0224,244000,App,787,0.0949,Automática,Finalizado,0,2024-10-23,Cundinamarca,Soacha,21,No informa,2,Universitario,Microempresario,2570000.0,Aliado comercial,497.0,True,1,Android,hash_921935,21,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45556731769190145,0,2570000.0,normal
CR000050,CL00046,2025-07-23,Crédito consumo digital,1850000,12,0.0298,186000,App,811,0.0724,Automática,Activo,0,2025-01-21,Cundinamarca,Soacha,29,F,5,Técnico/Tecnólogo,Estudiante,2570000.0,Referido,613.0,False,4,iOS,hash_348724,183,7,2,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1789.0,255.57142857142858,0.20689308573204057,0,2570000.0,normal
CR000051,CL00047,2025-10-26,Crédito libre inversión,3250000,18,0.0247,226000,Call center,786,0.1378,Automática,Activo,0,2025-08-08,Risaralda,Pereira,31,F,2,Sin información,Comerciante,1640000.0,Campaña digital,569.0,False,0,Android,hash_799746,79,10,6,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,646.0,215.33333333333334,0.6170896100288703,1,1640000.0,normal
CR000052,CL00048,2026-01-30,Crédito consumo digital,1650000,6,0.027,302000,Call center,800,0.1175,Automática,Activo,0,2025-01-03,Tolima,Ibagué,47,M,2,Universitario,Independiente,2570000.0,App orgánico,554.0,False,1,iOS,hash_892173,392,1,4,0.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2224.0,171.07692307692307,0.2758832269751806,0,2570000.0,normal
CR000053,CL00050,2025-05-11,Crédito libre inversión,3750000,12,0.0186,351000,App,803,0.1526,Automática,Mora moderada,1,2023-09-17,Bogotá D.C.,Bogotá,19,M,3,Bachiller,Pensionado,2300000.0,App orgánico,523.0,False,1,Android,hash_362091,602,5,6,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1049.0,174.83333333333334,0.7502565378639087,1,2300000.0,normal
CR000054,CL00051,2025-12-12,Crédito libre inversión,7550000,3,0.0335,2687000,App,726,0.9842,Excepción,Mora moderada,1,2024-08-07,Bogotá D.C.,Bogotá,39,M,3,Técnico/Tecnólogo,Comerciante,2730000.0,Campaña digital,530.0,False,0,Android,hash_774533,492,12,4,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,969.0,138.42857142857142,0.7790895701602342,1,2730000.0,normal
CR000055,CL00052,2025-06-28,Crédito consumo digital,3250000,6,0.0325,605000,Aliado,782,0.1576,Automática,Mora moderada,1,2024-04-01,Santander,Bucaramanga,32,F,4,Técnico/Tecnólogo,Empleado,3840000.0,App orgánico,606.0,False,3,iOS,hash_571869,453,6,5,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,898.0,128.28571428571428,0.42824550723030985,0,3840000.0,normal
CR000056,CL00054,2025-01-05,Crédito consumo digital,1400000,12,0.0252,137000,Web,809,0.0628,Automática,Mora moderada,1,2023-06-21,Valle del Cauca,Cali,42,M,1,Posgrado,Microempresario,2180000.0,Referido,550.0,False,2,Android,hash_741593,564,1,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,555.0,185.0,0.5217995985685244,1,2180000.0,normal
CR000057,CL00056,2025-10-23,Crédito consumo digital,2050000,6,0.0217,368000,App,900,0.1553,Automática,Finalizado,0,2025-08-08,Santander,Bucaramanga,45,M,2,Bachiller,Empleado,2370000.0,App orgánico,609.0,False,0,Android,hash_503551,76,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4110755221834984,0,2370000.0,normal
CR000058,CL00056,2026-03-30,Avance de nómina,1050000,6,0.0314,195000,App,874,0.0823,Automática,Activo,0,2025-08-08,Santander,Bucaramanga,45,M,2,Bachiller,Empleado,2370000.0,App orgánico,609.0,False,0,Android,hash_503551,234,3,0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,930.0,103.33333333333333,0.27278329331902745,0,2370000.0,normal
CR000059,CL00057,2024-11-12,Microcrédito,1100000,9,0.0389,147000,Web,775,0.0739,Automática,Mora moderada,1,2023-01-28,Bogotá D.C.,Bogotá,28,F,4,Técnico/Tecnólogo,Independiente,1990000.0,Aliado comercial,512.0,True,1,Android,hash_755244,654,11,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,352.0,176.0,0.7673180740775203,1,1990000.0,normal
CR000060,CL00058,2024-05-02,Microcrédito,3300000,6,0.0263,602000,App,849,0.2427,Automática,Finalizado,0,2023-10-13,Antioquia,Medellín,33,F,6,Técnico/Tecnólogo,Independiente,2480000.0,Aliado comercial,667.0,False,0,Android,hash_805356,202,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,272.0,272.0,0.3747847496257693,0,2480000.0,normal
CR000061,CL00059,2026-01-05,Crédito consumo digital,1750000,9,0.0346,230000,Call center,860,0.105,Automática,Activo,0,2025-06-08,Bolívar,Cartagena,39,M,3,Bachiller,Independiente,2190000.0,Campaña digital,639.0,False,1,iOS,hash_223728,211,1,0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,1929.0,241.125,0.2221408270502251,0,2190000.0,normal
CR000062,CL00059,2025-06-27,Avance de nómina,1400000,12,0.0273,138000,App,815,0.063,Automática,Activo,0,2025-06-08,Bolívar,Cartagena,39,M,3,Bachiller,Independiente,2190000.0,Campaña digital,639.0,False,1,iOS,hash_223728,19,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37674059767016066,0,2190000.0,normal
CR000063,CL00059,2026-03-27,Crédito libre inversión,1600000,12,0.0306,161000,App,886,0.0735,Automática,Activo,0,2025-06-08,Bolívar,Cartagena,39,M,3,Bachiller,Independiente,2190000.0,Campaña digital,639.0,False,1,iOS,hash_223728,292,3,4,0.0,2.0,3.0,3.0,1.0,0.0,0.0,2.0,2470.0,224.54545454545453,0.22943002549000513,0,2190000.0,normal
CR000064,CL00060,2026-02-06,Crédito consumo digital,3350000,9,0.0228,416000,App,900,0.1115,Automática,Activo,0,2025-03-17,Cundinamarca,Soacha,46,F,3,Técnico/Tecnólogo,Independiente,3730000.0,Referido,648.0,False,0,Android,hash_181972,326,2,4,1.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1311.0,145.66666666666666,0.18994006711745545,0,3730000.0,normal
CR000065,CL00061,2024-03-09,Crédito consumo digital,1150000,6,0.0321,214000,App,848,0.096,Automática,Finalizado,0,2023-04-06,Bogotá D.C.,Bogotá,31,M,2,Técnico/Tecnólogo,Empleado,2230000.0,Referido,607.0,False,0,Web,hash_900511,338,3,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,379.0,189.5,0.31446374916033487,0,2230000.0,normal
CR000066,CL00062,2025-12-17,Avance de nómina,700000,9,0.0229,87000,App,870,0.0361,Automática,Activo,0,2025-04-09,Bogotá D.C.,Bogotá,34,F,4,Posgrado,Independiente,2410000.0,App orgánico,625.0,True,0,iOS,hash_591121,252,12,2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,595.0,148.75,0.3529840148692503,0,2410000.0,normal
