cliente_id;fecha_registro;departamento;ciudad;edad;genero;estrato;nivel_educativo;ocupacion;ingreso_mensual_estimado;ingreso_mensual_bi;flag_ingreso;canal_adquisicion;score_externo;tiene_producto_ahorro;numero_dependientes;dispositivo_principal
CL00030;2025-11-06;Cundinamarca;Soacha;33;M;3;Universitario;Empleado;3480000,0;3480000,0;normal;Referido;636,0;False;0;Android
CL00031;2024-06-03;Bolívar;Cartagena;30;M;3;Universitario;Independiente;4440000,0;4440000,0;normal;Campaña digital;615,0;True;0;Android
CL00033;2025-07-30;Caldas;Manizales;36;M;4;Bachiller;Independiente;3310000,0;3310000,0;normal;Referido;675,0;False;1;Android
CL00034;2026-01-04;Bogotá D.C.;Bogotá;25;F;1;Técnico/Tecnólogo;Comerciante;1530000,0;1530000,0;normal;Aliado comercial;476,0;True;1;Android
CL00035;2024-12-01;Atlántico;Barranquilla;44;M;3;Posgrado;Microempresario;5040000,0;5040000,0;normal;Campaña digital;684,0;False;2;Android
CL00036;2025-02-16;Cundinamarca;Soacha;24;M;2;Técnico/Tecnólogo;Independiente;2010000,0;2010000,0;normal;Campaña digital;588,0;True;1;Android
CL00037;2025-07-20;Norte de Santander;Cúcuta;38;M;1;Posgrado;Empleado;2050000,0;2050000,0;normal;Campaña digital;601,0;False;1;Android
CL00038;2025-06-29;Antioquia;Medellín;19;F;3;Bachiller;Desempleado;2570000,0;2570000,0;normal;Referido;418,0;False;2;Android
CL00039;2024-03-21;Tolima;Ibagué;23;M;4;Universitario;Empleado;3130000,0;3130000,0;normal;Campaña digital;670,0;True;2;Android
CL00040;2025-12-08;Bolívar;Cartagena;38;M;3;Bachiller;Microempresario;4190000,0;4190000,0;normal;App orgánico;610,0;False;2;iOS
CL00041;2023-06-28;Atlántico;Barranquilla;43;F;4;Técnico/Tecnólogo;Independiente;3040000,0;3040000,0;normal;Campaña digital;699,0;False;1;Android
CL00042;2024-06-07;Bogotá D.C.;Bogotá;38;M;4;Bachiller;Independiente;1790000,0;1790000,0;normal;Referido;587,0;False;4;Android
CL00043;2024-03-07;Santander;Bucaramanga;35;M;5;Técnico/Tecnólogo;Empleado;2450000,0;2450000,0;normal;App orgánico;690,0;False;2;Android
CL00044;2024-12-25;Cundinamarca;Soacha;33;F;4;Bachiller;Microempresario;2970000,0;2970000,0;normal;App orgánico;704,0;False;0;Android
CL00045;2024-10-23;Cundinamarca;Soacha;21;No informa;2;Universitario;Microempresario;2570000,0;2570000,0;normal;Aliado comercial;497,0;True;1;Android
CL00046;2025-01-21;Cundinamarca;Soacha;29;F;5;Técnico/Tecnólogo;Estudiante;2570000,0;2570000,0;normal;Referido;613,0;False;4;iOS
CL00047;2025-08-08;Risaralda;Pereira;31;F;2;Sin información;Comerciante;1640000,0;1640000,0;normal;Campaña digital;569,0;False;0;Android
CL00048;2025-01-03;Tolima;Ibagué;47;M;2;Universitario;Independiente;2570000,0;2570000,0;normal;App orgánico;554,0;False;1;iOS
CL00050;2023-09-17;Bogotá D.C.;Bogotá;19;M;3;Bachiller;Pensionado;2300000,0;2300000,0;normal;App orgánico;523,0;False;1;Android
CL00051;2024-08-07;Bogotá D.C.;Bogotá;39;M;3;Técnico/Tecnólogo;Comerciante;2730000,0;2730000,0;normal;Campaña digital;530,0;False;0;Android
CL00052;2024-04-01;Santander;Bucaramanga;32;F;4;Técnico/Tecnólogo;Empleado;3840000,0;3840000,0;normal;App orgánico;606,0;False;3;iOS
CL00054;2023-06-21;Valle del Cauca;Cali;42;M;1;Posgrado;Microempresario;2180000,0;2180000,0;normal;Referido;550,0;False;2;Android
CL00056;2025-08-08;Santander;Bucaramanga;45;M;2;Bachiller;Empleado;2370000,0;2370000,0;normal;App orgánico;609,0;False;0;Android
CL00057;2023-01-28;Bogotá D.C.;Bogotá;28;F;4;Técnico/Tecnólogo;Independiente;1990000,0;1990000,0;normal;Aliado comercial;512,0;True;1;Android
CL00058;2023-10-13;Antioquia;Medellín;33;F;6;Técnico/Tecnólogo;Independiente;2480000,0;2480000,0;normal;Aliado comercial;667,0;False;0;Android
CL00059;2025-06-08;Bolívar;Cartagena;39;M;3;Bachiller;Independiente;2190000,0;2190000,0;normal;Campaña digital;639,0;False;1;iOS
CL00060;2025-03-17;Cundinamarca;Soacha;46;F;3;Técnico/Tecnólogo;Independiente;3730000,0;3730000,0;normal;Referido;648,0;False;0;Android
CL00061;2023-04-06;Bogotá D.C.;Bogotá;31;M;2;Técnico/Tecnólogo;Empleado;2230000,0;2230000,0;normal;Referido;607,0;False;0;Web
CL00062;2025-04-09;Bogotá D.C.;Bogotá;34;F;4;Posgrado;Independiente;2410000,0;2410000,0;normal;App orgánico;625,0;True;0;iOS
CL00063;2023-02-04;Bogotá D.C.;Bogotá;25;F;2;Sin información;Empleado;3090000,0;3090000,0;normal;Call center;487,0;False;3;iOS
CL00064;2024-01-30;Valle del Cauca;Cali;24;M;4;Universitario;Independiente;2850000,0;2850000,0;normal;Call center;528,0;False;2;Android
CL00065;2024-02-07;Bogotá D.C.;Bogotá;44;M;2;Bachiller;Empleado;6290000,0;6290000,0;normal;Campaña digital;732,0;True;3;Web
CL00067;2024-12-27;Bogotá D.C.;Bogotá;35;F;2;Técnico/Tecnólogo;Microempresario;3970000,0;3970000,0;normal;Campaña digital;728,0;False;0;Android
CL00068;2024-03-24;Antioquia;Medellín;46;M;5;Universitario;Empleado;4810000,0;4810000,0;normal;App orgánico;739,0;True;2;Android
CL00069;2023-05-20;Antioquia;Medellín;40;M;2;Universitario;Estudiante;2050000,0;2050000,0;normal;Call center;500,0;False;1;Android
CL00072;2025-07-22;Bolívar;Cartagena;51;F;2;Técnico/Tecnólogo;Microempresario;2350000,0;2350000,0;normal;Campaña digital;657,0;False;2;iOS
CL00073;2023-08-27;Bogotá D.C.;Bogotá;36;M;1;Técnico/Tecnólogo;Independiente;2040000,0;2040000,0;normal;App orgánico;543,0;True;1;iOS
CL00074;2025-09-05;Bogotá D.C.;Bogotá;52;F;3;Bachiller;Empleado;6110000,0;6110000,0;normal;Aliado comercial;758,0;False;0;Android
CL00075;2025-01-26;Antioquia;Medellín;19;F;3;Universitario;Empleado;3520000,0;3520000,0;normal;Campaña digital;588,0;True;0;Android
CL00076;2024-07-27;Bogotá D.C.;Bogotá;44;F;4;Universitario;Independiente;2370000,0;2370000,0;normal;Referido;592,0;True;2;Android
CL00077;2026-01-13;Antioquia;Medellín;37;F;4;Bachiller;Microempresario;1940000,0;1940000,0;normal;Campaña digital;580,0;True;3;Android
CL00078;2025-04-27;Cundinamarca;Soacha;33;F;2;Técnico/Tecnólogo;Empleado;3200000,0;3200000,0;normal;Call center;622,0;True;3;Android
CL00079;2023-12-29;Atlántico;Barranquilla;37;M;2;Técnico/Tecnólogo;Pensionado;2450000,0;2450000,0;normal;Campaña digital;501,0;True;1;Android
CL00080;2025-09-21;Risaralda;Pereira;19;M;3;Universitario;Empleado;2050000,0;2050000,0;normal;Campaña digital;589,0;False;0;Android
CL00081;2023-11-05;Bolívar;Cartagena;34;F;3;Universitario;Independiente;1850000,0;1850000,0;normal;App orgánico;588,0;False;0;iOS
CL00082;2023-06-04;Bogotá D.C.;Bogotá;40;M;5;Sin información;Empleado;2960000,0;2960000,0;normal;Aliado comercial;594,0;False;2;Android
CL00083;2025-08-01;Antioquia;Medellín;51;M;4;Bachiller;Empleado;2390000,0;2390000,0;normal;Call center;522,0;True;0;iOS
CL00086;2025-12-22;Antioquia;Medellín;31;M;2;Bachiller;Empleado;2610000,0;2610000,0;normal;Campaña digital;425,0;False;2;iOS
CL00088;2024-09-25;Tolima;Ibagué;39;F;1;Universitario;Independiente;1880000,0;1880000,0;normal;App orgánico;507,0;False;0;Android
CL00089;2025-11-10;Antioquia;Medellín;31;M;3;Técnico/Tecnólogo;Desempleado;1100000,0;1100000,0;normal;Campaña digital;440,0;True;1;iOS
CL00091;2025-08-09;Valle del Cauca;Cali;37;M;3;Bachiller;Conductor/Repartidor;1830000,0;1830000,0;normal;App orgánico;497,0;True;1;Android
CL00092;2023-10-14;Bogotá D.C.;Bogotá;46;M;3;Técnico/Tecnólogo;Microempresario;5300000,0;5300000,0;normal;Referido;676,0;True;0;Android
CL00093;2023-07-20;Bogotá D.C.;Bogotá;29;M;4;Técnico/Tecnólogo;Comerciante;4660000,0;4660000,0;normal;App orgánico;693,0;True;4;Android
CL00094;2024-11-06;Bogotá D.C.;Bogotá;33;M;5;Universitario;Desempleado;1250000,0;1250000,0;normal;Call center;602,0;False;1;Android
CL00095;2023-08-18;Antioquia;Medellín;32;F;4;Universitario;Comerciante;2570000,0;2570000,0;normal;Campaña digital;697,0;True;1;Android
CL00096;2024-08-08;Antioquia;Medellín;21;F;4;Sin información;Empleado;4410000,0;4410000,0;normal;Campaña digital;630,0;False;0;Android
CL00097;2023-09-29;Meta;Villavicencio;39;M;1;Universitario;Conductor/Repartidor;2100000,0;2100000,0;normal;App orgánico;505,0;False;0;Android
CL00099;2024-08-12;Santander;Bucaramanga;36;M;3;Técnico/Tecnólogo;Conductor/Repartidor;3460000,0;3460000,0;normal;Campaña digital;612,0;False;0;Android
CL00100;2023-03-12;Bogotá D.C.;Bogotá;34;M;4;Universitario;Microempresario;4340000,0;4340000,0;normal;Aliado comercial;665,0;False;2;Android
CL00101;2024-02-11;Atlántico;Barranquilla;22;M;4;Sin información;Empleado;2710000,0;2710000,0;normal;Aliado comercial;576,0;True;0;iOS
CL00102;2024-05-15;Cundinamarca;Soacha;32;F;3;Bachiller;Estudiante;1120000,0;1120000,0;normal;Aliado comercial;451,0;True;0;Android
CL00103;2025-03-01;Bogotá D.C.;Bogotá;33;M;4;Técnico/Tecnólogo;Independiente;2980000,0;2980000,0;normal;Campaña digital;646,0;False;0;Android
CL00104;2025-11-28;Antioquia;Medellín;28;M;2;Sin información;Empleado;2670000,0;2670000,0;normal;Campaña digital;585,0;False;0;Android
CL00105;2025-07-17;Valle del Cauca;Cali;34;F;3;Técnico/Tecnólogo;Microempresario;2570000,0;2570000,0;normal;Campaña digital;674,0;False;2;iOS
CL00106;2025-11-30;Caldas;Manizales;40;M;4;Universitario;Empleado;5320000,0;5320000,0;normal;App orgánico;756,0;True;1;Android
CL00107;2024-11-08;Valle del Cauca;Cali;55;F;3;Universitario;Comerciante;2570000,0;2570000,0;normal;Aliado comercial;592,0;True;1;Android
CL00108;2025-11-30;Atlántico;Barranquilla;38;M;2;Técnico/Tecnólogo;Comerciante;2570000,0;2570000,0;normal;Campaña digital;596,0;False;0;iOS
CL00109;2024-05-30;Antioquia;Medellín;39;M;3;Técnico/Tecnólogo;Pensionado;2440000,0;2440000,0;normal;Call center;600,0;False;3;Android
CL00110;2025-01-19;Antioquia;Medellín;35;F;2;Universitario;Pensionado;2020000,0;2020000,0;normal;Referido;497,0;True;0;Android
CL00111;2023-06-19;Caldas;Manizales;19;F;2;Universitario;Independiente;1580000,0;1580000,0;normal;Campaña digital;495,0;False;1;Android
CL00113;2024-10-21;Bolívar;Cartagena;37;F;1;Bachiller;Empleado;4830000,0;4830000,0;normal;App orgánico;706,0;True;1;Android
CL00114;2023-03-03;Bogotá D.C.;Bogotá;61;M;4;Bachiller;Empleado;5200000,0;5200000,0;normal;Call center;759,0;False;1;iOS
CL00115;2025-05-11;Antioquia;Medellín;34;M;5;Bachiller;Microempresario;2860000,0;2860000,0;normal;Aliado comercial;586,0;False;0;iOS
CL00116;2023-07-31;Cundinamarca;Soacha;39;M;2;Bachiller;Independiente;2630000,0;2630000,0;normal;App orgánico;588,0;False;1;Android
CL00117;2025-01-22;Antioquia;Medellín;36;F;3;Universitario;Empleado;2900000,0;2900000,0;normal;Aliado comercial;655,0;False;1;iOS
CL00119;2023-08-15;Bogotá D.C.;Bogotá;47;F;4;Técnico/Tecnólogo;Comerciante;1930000,0;1930000,0;normal;App orgánico;613,0;True;0;Android
CL00120;2025-09-21;Antioquia;Medellín;44;F;5;Técnico/Tecnólogo;Microempresario;2570000,0;2570000,0;normal;App orgánico;733,0;True;1;Android
CL00121;2025-04-30;Bogotá D.C.;Bogotá;44;M;1;Posgrado;Empleado;890000,0;890000,0;normal;App orgánico;596,0;True;0;Android
CL00123;2024-05-25;Bogotá D.C.;Bogotá;50;M;2;Bachiller;Empleado;4620000,0;4620000,0;normal;App orgánico;711,0;False;0;Android
CL00125;2024-02-22;Caldas;Manizales;42;F;4;Técnico/Tecnólogo;Empleado;5500000,0;5500000,0;normal;App orgánico;678,0;True;4;iOS
CL00126;2024-08-11;Antioquia;Medellín;58;M;2;Universitario;Independiente;2310000,0;2310000,0;normal;Call center;603,0;True;2;Android
CL00127;2023-07-17;Bogotá D.C.;Bogotá;26;M;2;Sin información;Independiente;3180000,0;3180000,0;normal;Referido;523,0;True;2;Android
CL00128;2023-02-12;Atlántico;Barranquilla;30;F;4;Universitario;Empleado;3530000,0;3530000,0;normal;Referido;630,0;False;1;Android
CL00130;2023-02-27;Bogotá D.C.;Bogotá;31;M;1;Bachiller;Comerciante;1530000,0;1530000,0;normal;App orgánico;492,0;False;1;iOS
CL00131;2023-02-20;Atlántico;Barranquilla;20;F;3;Bachiller;Microempresario;2530000,0;2530000,0;normal;App orgánico;522,0;True;0;Android
CL00133;2023-01-24;Cundinamarca;Soacha;25;F;2;Técnico/Tecnólogo;Empleado;2000000,0;2000000,0;normal;Campaña digital;476,0;False;3;Web
CL00134;2023-05-07;Bogotá D.C.;Bogotá;41;F;3;Bachiller;Empleado;2740000,0;2740000,0;normal;App orgánico;605,0;False;1;Android
CL00135;2025-07-26;Tolima;Ibagué;27;M;3;Bachiller;Empleado;3720000,0;3720000,0;normal;App orgánico;632,0;True;0;Android
CL00137;2025-07-22;Risaralda;Pereira;28;F;2;Universitario;Estudiante;1210000,0;1210000,0;normal;Campaña digital;491,0;True;2;iOS
CL00138;2025-08-01;Bogotá D.C.;Bogotá;33;M;2;Posgrado;Empleado;2960000,0;2960000,0;normal;Aliado comercial;601,0;True;2;Web
CL00139;2023-08-11;Antioquia;Medellín;44;F;3;Universitario;Empleado;2420000,0;2420000,0;normal;Aliado comercial;565,0;True;4;Android
CL00140;2023-07-31;Bogotá D.C.;Bogotá;24;No informa;4;Universitario;Pensionado;3460000,0;3460000,0;normal;App orgánico;577,0;False;2;Android
CL00141;2023-10-01;Bogotá D.C.;Bogotá;38;M;3;Universitario;Conductor/Repartidor;2030000,0;2030000,0;normal;Referido;598,0;False;0;Android
CL00142;2024-12-02;Cundinamarca;Soacha;49;F;3;Técnico/Tecnólogo;Microempresario;5560000,0;5560000,0;normal;App orgánico;781,0;False;0;Android
CL00144;2024-09-06;Caldas;Manizales;38;F;2;Bachiller;Empleado;2980000,0;2980000,0;normal;App orgánico;481,0;False;0;Android
CL00145;2023-12-26;Bogotá D.C.;Bogotá;39;M;3;Posgrado;Comerciante;1640000,0;1640000,0;normal;Aliado comercial;465,0;False;0;Android
CL00146;2023-10-25;Bolívar;Cartagena;44;F;2;Bachiller;Independiente;2880000,0;2880000,0;normal;Referido;589,0;True;0;iOS
CL00148;2023-03-16;Bolívar;Cartagena;23;F;1;Universitario;Empleado;2180000,0;2180000,0;normal;Campaña digital;502,0;False;3;iOS
CL00149;2024-06-18;Bogotá D.C.;Bogotá;41;F;3;Técnico/Tecnólogo;Microempresario;3620000,0;3620000,0;normal;Call center;660,0;False;0;iOS
CL00150;2025-10-30;Cundinamarca;Soacha;39;F;5;Bachiller;Empleado;4200000,0;4200000,0;normal;App orgánico;634,0;False;1;Web
CL00151;2024-12-19;Valle del Cauca;Cali;39;M;1;Posgrado;Empleado;1560000,0;1560000,0;normal;Aliado comercial;477,0;False;0;Android
CL00152;2025-07-26;Norte de Santander;Cúcuta;39;F;4;Universitario;Empleado;2710000,0;2710000,0;normal;App orgánico;632,0;False;1;Android
CL00153;2023-10-30;Risaralda;Pereira;29;M;4;Universitario;Pensionado;1990000,0;1990000,0;normal;Referido;526,0;False;2;Android
CL00154;2024-09-07;Valle del Cauca;Cali;38;F;3;Universitario;Microempresario;2560000,0;2560000,0;normal;App orgánico;626,0;True;4;Android
CL00155;2025-07-20;Meta;Villavicencio;39;M;1;Técnico/Tecnólogo;Empleado;1970000,0;1970000,0;normal;Aliado comercial;484,0;False;2;Android
CL00156;2024-05-14;Antioquia;Medellín;29;F;2;Técnico/Tecnólogo;Comerciante;3770000,0;3770000,0;normal;Campaña digital;625,0;False;0;Android
CL00158;2024-10-31;Bogotá D.C.;Bogotá;41;M;4;Posgrado;Empleado;5650000,0;5650000,0;normal;Campaña digital;668,0;True;0;Android
CL00159;2023-10-08;Bogotá D.C.;Bogotá;24;M;1;Bachiller;Empleado;1560000,0;1560000,0;normal;Call center;506,0;True;2;Android
CL00161;2025-05-19;Atlántico;Barranquilla;26;M;2;Sin información;Empleado;1600000,0;1600000,0;normal;Referido;531,0;False;4;Android
CL00163;2024-10-14;Bolívar;Cartagena;48;F;4;Universitario;Microempresario;3410000,0;3410000,0;normal;Referido;660,0;False;1;Android
CL00164;2023-06-03;Valle del Cauca;Cali;28;M;2;Universitario;Empleado;2600000,0;2600000,0;normal;Call center;659,0;False;1;iOS
CL00165;2023-05-01;Valle del Cauca;Cali;46;F;3;Bachiller;Comerciante;3050000,0;3050000,0;normal;Referido;738,0;False;1;Android
CL00166;2025-11-04;Bogotá D.C.;Bogotá;40;M;3;Técnico/Tecnólogo;Conductor/Repartidor;3140000,0;3140000,0;normal;Campaña digital;622,0;True;3;Android
CL00167;2023-03-15;Cundinamarca;Soacha;44;F;2;Posgrado;Comerciante;2720000,0;2720000,0;normal;App orgánico;517,0;False;3;Android
CL00168;2023-10-04;Cundinamarca;Soacha;55;F;4;Técnico/Tecnólogo;Conductor/Repartidor;2770000,0;2770000,0;normal;Aliado comercial;512,0;False;1;Web
CL00169;2023-06-03;Santander;Bucaramanga;34;F;1;Técnico/Tecnólogo;Empleado;3580000,0;3580000,0;normal;Campaña digital;601,0;False;0;Android
CL00170;2023-12-09;Norte de Santander;Cúcuta;28;F;1;Universitario;Comerciante;2370000,0;2370000,0;normal;Campaña digital;498,0;False;1;Android
CL00172;2025-01-08;Bolívar;Cartagena;28;F;3;Universitario;Empleado;3880000,0;3880000,0;normal;App orgánico;616,0;True;2;Android
CL00173;2023-10-19;Atlántico;Barranquilla;35;F;3;Posgrado;Empleado;2410000,0;2410000,0;normal;App orgánico;585,0;True;2;Android
CL00174;2024-06-24;Valle del Cauca;Cali;39;M;2;Sin información;Microempresario;1600000,0;1600000,0;normal;App orgánico;487,0;True;1;Android
CL00175;2025-03-18;Atlántico;Barranquilla;39;F;2;Universitario;Comerciante;1970000,0;1970000,0;normal;Call center;539,0;False;3;Android
CL00176;2023-10-11;Valle del Cauca;Cali;44;F;3;Técnico/Tecnólogo;Microempresario;2630000,0;2630000,0;normal;App orgánico;580,0;True;1;Android
CL00178;2023-11-30;Cundinamarca;Soacha;51;M;1;Universitario;Empleado;2970000,0;2970000,0;normal;Aliado comercial;638,0;False;0;Android
CL00180;2025-05-11;Antioquia;Medellín;63;F;2;Técnico/Tecnólogo;Microempresario;2970000,0;2970000,0;normal;App orgánico;665,0;True;1;iOS
CL00181;2025-07-08;Bogotá D.C.;Bogotá;42;M;5;Bachiller;Independiente;4850000,0;4850000,0;normal;Referido;691,0;False;2;Android
CL00182;2024-03-14;Bogotá D.C.;Bogotá;27;F;3;Técnico/Tecnólogo;Empleado;3880000,0;3880000,0;normal;App orgánico;594,0;True;4;iOS
CL00183;2024-06-27;Bolívar;Cartagena;25;M;2;Universitario;Desempleado;610000,0;610000,0;normal;Campaña digital;526,0;False;0;Android
CL00184;2023-09-10;Bogotá D.C.;Bogotá;41;F;2;Técnico/Tecnólogo;Empleado;1990000,0;1990000,0;normal;App orgánico;493,0;False;3;Android
CL00185;2025-06-20;Antioquia;Medellín;34;F;1;Universitario;Microempresario;3260000,0;3260000,0;normal;Campaña digital;493,0;True;1;Web
CL00186;2023-07-25;Valle del Cauca;Cali;43;F;3;Sin información;Microempresario;4410000,0;4410000,0;normal;App orgánico;555,0;False;2;Android
CL00188;2024-11-27;Valle del Cauca;Cali;35;F;3;Universitario;Microempresario;2430000,0;2430000,0;normal;Referido;615,0;True;0;Android
CL00189;2024-03-01;Bogotá D.C.;Bogotá;28;M;2;Bachiller;Independiente;2130000,0;2130000,0;normal;Call center;507,0;False;2;Android
CL00190;2025-08-27;Risaralda;Pereira;21;M;3;Bachiller;Empleado;1990000,0;1990000,0;normal;Aliado comercial;659,0;False;1;Android
CL00191;2025-10-21;Bogotá D.C.;Bogotá;32;M;4;Sin información;Independiente;2570000,0;2570000,0;normal;Campaña digital;691,0;False;0;Web
CL00192;2024-01-07;Atlántico;Barranquilla;45;F;2;Universitario;Empleado;2810000,0;2810000,0;normal;Referido;571,0;True;0;Android
CL00193;2025-07-04;Antioquia;Medellín;38;F;5;Universitario;Desempleado;1330000,0;1330000,0;normal;Call center;450,0;True;0;Web
CL00194;2023-10-07;Risaralda;Pereira;24;No informa;3;Bachiller;Empleado;4620000,0;4620000,0;normal;Campaña digital;692,0;False;1;Android
CL00195;2026-01-07;Bogotá D.C.;Bogotá;38;F;4;Bachiller;Empleado;3490000,0;3490000,0;normal;Campaña digital;643,0;True;3;iOS
CL00196;2023-11-18;Bogotá D.C.;Bogotá;40;F;1;Universitario;Empleado;2410000,0;2410000,0;normal;App orgánico;450,0;True;1;Android
CL00197;2023-05-08;Bogotá D.C.;Bogotá;27;F;3;Técnico/Tecnólogo;Empleado;4420000,0;4420000,0;normal;Call center;716,0;False;1;Android
CL00198;2023-03-30;Antioquia;Medellín;38;M;2;Técnico/Tecnólogo;Microempresario;2400000,0;2400000,0;normal;Aliado comercial;511,0;True;0;Android
CL00199;2025-09-03;Bolívar;Cartagena;37;M;1;Universitario;Empleado;1300000,0;1300000,0;normal;App orgánico;588,0;False;1;iOS
CL00200;2024-09-05;Atlántico;Barranquilla;25;M;2;Bachiller;Desempleado;1010000,0;1010000,0;normal;Campaña digital;518,0;False;0;Android
CL00202;2025-08-22;Bolívar;Cartagena;42;M;4;Universitario;Empleado;2410000,0;2410000,0;normal;App orgánico;624,0;True;0;Android
CL00203;2023-12-13;Antioquia;Medellín;47;F;4;Técnico/Tecnólogo;Empleado;2950000,0;2950000,0;normal;Referido;613,0;False;2;Android
CL00204;2023-05-27;Cundinamarca;Soacha;47;F;6;Universitario;Microempresario;7690000,0;7082400,000000003;outlier_real;Campaña digital;850,0;True;1;Android
CL00205;2023-10-05;Norte de Santander;Cúcuta;22;F;3;Sin información;Comerciante;2310000,0;2310000,0;normal;App orgánico;557,0;False;0;Android
CL00206;2023-01-23;Bogotá D.C.;Bogotá;27;F;4;Posgrado;Pensionado;2010000,0;2010000,0;normal;Campaña digital;590,0;False;0;Android
CL00207;2025-01-13;Santander;Bucaramanga;41;M;3;Técnico/Tecnólogo;Independiente;2630000,0;2630000,0;normal;App orgánico;582,0;True;1;Web
CL00208;2024-03-11;Bogotá D.C.;Bogotá;41;F;1;Sin información;Empleado;2330000,0;2330000,0;normal;Referido;622,0;True;2;Android
CL00209;2024-07-20;Bogotá D.C.;Bogotá;41;F;2;Universitario;Empleado;2350000,0;2350000,0;normal;Call center;549,0;False;1;Android
CL00210;2025-12-23;Cundinamarca;Soacha;68;M;3;Bachiller;Empleado;5240000,0;5240000,0;normal;Campaña digital;736,0;False;3;Web
CL00211;2024-03-21;Bogotá D.C.;Bogotá;42;F;3;Universitario;Empleado;3190000,0;3190000,0;normal;Campaña digital;688,0;False;0;Android
CL00212;2025-07-16;Santander;Bucaramanga;47;M;1;Bachiller;Independiente;1260000,0;1260000,0;normal;Referido;392,0;False;1;iOS
CL00214;2025-01-28;Norte de Santander;Cúcuta;43;M;3;Posgrado;Independiente;2750000,0;2750000,0;normal;App orgánico;577,0;False;0;Android
CL00215;2024-05-26;Cundinamarca;Soacha;33;M;1;Bachiller;Conductor/Repartidor;1530000,0;1530000,0;normal;Campaña digital;543,0;False;0;Android
CL00216;2024-11-15;Antioquia;Medellín;44;M;2;Universitario;Pensionado;1920000,0;1920000,0;normal;Referido;505,0;False;1;Android
