cliente_id;fecha_registro;departamento;ciudad;edad;genero;estrato;nivel_educativo;ocupacion;ingreso_mensual_estimado;ingreso_mensual_bi;flag_ingreso;canal_adquisicion;score_externo;tiene_producto_ahorro;numero_dependientes;dispositivo_principal;creditos_total;creditos_morosos;monto_total_credito;monto_promedio_credito;probabilidad_mora_promedio;probabilidad_mora_max;ultima_fecha_desembolso;tasa_mora_cliente
CL00013;2024-10-26;Valle del Cauca;Cali;38;M;5;Técnico/Tecnólogo;Empleado;4670000,0;4670000,0;normal;Aliado comercial;692,0;False;0;Android;1;0;1700000;1700000,0;0,2855260101193327;0,2855260101193327;2026-01-19;0,0
CL00014;2025-09-30;Cundinamarca;Soacha;19;F;1;Técnico/Tecnólogo;Estudiante;760000,0;760000,0;normal;App orgánico;435,0;False;3;Android;1;0;600000;600000,0;0,30074609134380004;0,30074609134380004;2026-02-12;0,0
CL00015;2026-01-02;Antioquia;Medellín;19;M;4;Bachiller;Empleado;2970000,0;2970000,0;normal;App orgánico;506,0;False;4;iOS;3;1;7250000;2416666,6666666665;0,5535012834429008;0,669041989932034;2025-12-14;0,3333333333333333
CL00016;2023-03-05;Atlántico;Barranquilla;30;F;2;Sin información;Empleado;2340000,0;2340000,0;normal;Aliado comercial;577,0;True;1;Web;1;0;4350000;4350000,0;0,5088983454257395;0,5088983454257395;2024-11-14;0,0
CL00017;2024-11-22;Caldas;Manizales;26;F;2;Técnico/Tecnólogo;Empleado;3690000,0;3690000,0;normal;App orgánico;658,0;False;1;iOS;1;0;4200000;4200000,0;0,26747154449095595;0,26747154449095595;2025-10-17;0,0
CL00018;2024-03-23;Antioquia;Medellín;39;M;5;Bachiller;Comerciante;2890000,0;2890000,0;normal;Referido;651,0;False;1;Android;1;0;850000;850000,0;0,31843809638154313;0,31843809638154313;2024-11-27;0,0
CL00020;2023-08-14;Bogotá D.C.;Bogotá;22;M;5;Universitario;Empleado;4890000,0;4890000,0;normal;Referido;706,0;True;2;Android;1;0;1950000;1950000,0;0,25439850456088803;0,25439850456088803;2025-04-07;0,0
CL00023;2025-11-13;Cundinamarca;Soacha;37;F;5;Sin información;Empleado;3930000,0;3930000,0;normal;Referido;669,0;False;0;Android;1;0;4100000;4100000,0;0,29543702968778973;0,29543702968778973;2026-01-26;0,0
CL00026;2025-10-21;Santander;Bucaramanga;37;F;3;Técnico/Tecnólogo;Independiente;3070000,0;3070000,0;normal;Aliado comercial;618,0;False;0;Android;1;0;2050000;2050000,0;0,28916948670137815;0,28916948670137815;2025-10-28;0,0
CL00027;2023-05-23;Bogotá D.C.;Bogotá;24;F;5;Técnico/Tecnólogo;Independiente;3560000,0;3560000,0;normal;Call center;616,0;True;1;iOS;1;1;1300000;1300000,0;0,49763393893605407;0,49763393893605407;2024-03-03;1,0
CL00028;2025-11-13;Santander;Bucaramanga;40;F;4;Sin información;Estudiante;1080000,0;1080000,0;normal;Referido;548,0;False;0;iOS;3;1;5350000;1783333,3333333333;0,647577030059411;0,6719898820184683;2025-12-20;0,3333333333333333
CL00029;2024-05-09;Norte de Santander;Cúcuta;30;F;2;Técnico/Tecnólogo;Microempresario;3800000,0;3800000,0;normal;Call center;645,0;False;0;Android;1;0;3300000;3300000,0;0,268965852783461;0,268965852783461;2025-10-10;0,0
CL00030;2025-11-06;Cundinamarca;Soacha;33;M;3;Universitario;Empleado;3480000,0;3480000,0;normal;Referido;636,0;False;0;Android;1;0;4350000;4350000,0;0,44733063621284286;0,44733063621284286;2025-12-18;0,0
CL00031;2024-06-03;Bolívar;Cartagena;30;M;3;Universitario;Independiente;4440000,0;4440000,0;normal;Campaña digital;615,0;True;0;Android;1;0;9600000;9600000,0;0,44182638756205617;0,44182638756205617;2026-01-29;0,0
CL00033;2025-07-30;Caldas;Manizales;36;M;4;Bachiller;Independiente;3310000,0;3310000,0;normal;Referido;675,0;False;1;Android;1;0;4000000;4000000,0;0,42279107239706204;0,42279107239706204;2025-08-11;0,0
CL00034;2026-01-04;Bogotá D.C.;Bogotá;25;F;1;Técnico/Tecnólogo;Comerciante;1530000,0;1530000,0;normal;Aliado comercial;476,0;True;1;Android;2;1;1900000;950000,0;0,7626982385612386;0,8730543493207524;2026-02-01;0,5
CL00035;2024-12-01;Atlántico;Barranquilla;44;M;3;Posgrado;Microempresario;5040000,0;5040000,0;normal;Campaña digital;684,0;False;2;Android;1;0;4050000;4050000,0;0,29544132853130034;0,29544132853130034;2025-03-21;0,0
CL00036;2025-02-16;Cundinamarca;Soacha;24;M;2;Técnico/Tecnólogo;Independiente;2010000,0;2010000,0;normal;Campaña digital;588,0;True;1;Android;2;0;7500000;3750000,0;0,5295966220322373;0,6486816635581275;2025-11-03;0,0
CL00037;2025-07-20;Norte de Santander;Cúcuta;38;M;1;Posgrado;Empleado;2050000,0;2050000,0;normal;Campaña digital;601,0;False;1;Android;1;1;6450000;6450000,0;0,7831106849205263;0,7831106849205263;2025-10-10;1,0
CL00038;2025-06-29;Antioquia;Medellín;19;F;3;Bachiller;Desempleado;2570000,0;2570000,0;normal;Referido;418,0;False;2;Android;1;1;1900000;1900000,0;0,8117667499641882;0,8117667499641882;2025-09-19;1,0
CL00039;2024-03-21;Tolima;Ibagué;23;M;4;Universitario;Empleado;3130000,0;3130000,0;normal;Campaña digital;670,0;True;2;Android;2;1;7100000;3550000,0;0,41109831326609764;0,4717834026956459;2025-11-29;0,5
CL00040;2025-12-08;Bolívar;Cartagena;38;M;3;Bachiller;Microempresario;4190000,0;4190000,0;normal;App orgánico;610,0;False;2;iOS;2;1;4150000;2075000,0;0,3385940922859897;0,42582339265214747;2026-01-09;0,5
CL00041;2023-06-28;Atlántico;Barranquilla;43;F;4;Técnico/Tecnólogo;Independiente;3040000,0;3040000,0;normal;Campaña digital;699,0;False;1;Android;1;0;3800000;3800000,0;0,3582021725318985;0,3582021725318985;2023-10-04;0,0
CL00042;2024-06-07;Bogotá D.C.;Bogotá;38;M;4;Bachiller;Independiente;1790000,0;1790000,0;normal;Referido;587,0;False;4;Android;1;0;700000;700000,0;0,2346021328878525;0,2346021328878525;2026-03-26;0,0
CL00043;2024-03-07;Santander;Bucaramanga;35;M;5;Técnico/Tecnólogo;Empleado;2450000,0;2450000,0;normal;App orgánico;690,0;False;2;Android;1;0;1550000;1550000,0;0,31663263649861867;0,31663263649861867;2025-03-30;0,0
CL00044;2024-12-25;Cundinamarca;Soacha;33;F;4;Bachiller;Microempresario;2970000,0;2970000,0;normal;App orgánico;704,0;False;0;Android;2;0;2050000;1025000,0;0,22022358679616866;0,23110655758626847;2026-01-05;0,0
CL00045;2024-10-23;Cundinamarca;Soacha;21;No informa;2;Universitario;Microempresario;2570000,0;2570000,0;normal;Aliado comercial;497,0;True;1;Android;1;0;700000;700000,0;0,45556731769190145;0,45556731769190145;2024-11-13;0,0
CL00046;2025-01-21;Cundinamarca;Soacha;29;F;5;Técnico/Tecnólogo;Estudiante;2570000,0;2570000,0;normal;Referido;613,0;False;4;iOS;1;0;1850000;1850000,0;0,20689308573204057;0,20689308573204057;2025-07-23;0,0
CL00047;2025-08-08;Risaralda;Pereira;31;F;2;Sin información;Comerciante;1640000,0;1640000,0;normal;Campaña digital;569,0;False;0;Android;1;0;3250000;3250000,0;0,6170896100288703;0,6170896100288703;2025-10-26;0,0
CL00048;2025-01-03;Tolima;Ibagué;47;M;2;Universitario;Independiente;2570000,0;2570000,0;normal;App orgánico;554,0;False;1;iOS;1;0;1650000;1650000,0;0,2758832269751806;0,2758832269751806;2026-01-30;0,0
CL00050;2023-09-17;Bogotá D.C.;Bogotá;19;M;3;Bachiller;Pensionado;2300000,0;2300000,0;normal;App orgánico;523,0;False;1;Android;1;1;3750000;3750000,0;0,7502565378639087;0,7502565378639087;2025-05-11;1,0
CL00051;2024-08-07;Bogotá D.C.;Bogotá;39;M;3;Técnico/Tecnólogo;Comerciante;2730000,0;2730000,0;normal;Campaña digital;530,0;False;0;Android;1;1;7550000;7550000,0;0,7790895701602342;0,7790895701602342;2025-12-12;1,0
CL00052;2024-04-01;Santander;Bucaramanga;32;F;4;Técnico/Tecnólogo;Empleado;3840000,0;3840000,0;normal;App orgánico;606,0;False;3;iOS;1;1;3250000;3250000,0;0,42824550723030985;0,42824550723030985;2025-06-28;1,0
CL00054;2023-06-21;Valle del Cauca;Cali;42;M;1;Posgrado;Microempresario;2180000,0;2180000,0;normal;Referido;550,0;False;2;Android;1;1;1400000;1400000,0;0,5217995985685244;0,5217995985685244;2025-01-05;1,0
CL00056;2025-08-08;Santander;Bucaramanga;45;M;2;Bachiller;Empleado;2370000,0;2370000,0;normal;App orgánico;609,0;False;0;Android;2;0;3100000;1550000,0;0,3419294077512629;0,4110755221834984;2026-03-30;0,0
CL00057;2023-01-28;Bogotá D.C.;Bogotá;28;F;4;Técnico/Tecnólogo;Independiente;1990000,0;1990000,0;normal;Aliado comercial;512,0;True;1;Android;1;1;1100000;1100000,0;0,7673180740775203;0,7673180740775203;2024-11-12;1,0
CL00058;2023-10-13;Antioquia;Medellín;33;F;6;Técnico/Tecnólogo;Independiente;2480000,0;2480000,0;normal;Aliado comercial;667,0;False;0;Android;1;0;3300000;3300000,0;0,3747847496257693;0,3747847496257693;2024-05-02;0,0
CL00059;2025-06-08;Bolívar;Cartagena;39;M;3;Bachiller;Independiente;2190000,0;2190000,0;normal;Campaña digital;639,0;False;1;iOS;3;0;4750000;1583333,3333333333;0,27610381673679696;0,37674059767016066;2026-03-27;0,0
CL00060;2025-03-17;Cundinamarca;Soacha;46;F;3;Técnico/Tecnólogo;Independiente;3730000,0;3730000,0;normal;Referido;648,0;False;0;Android;1;0;3350000;3350000,0;0,18994006711745545;0,18994006711745545;2026-02-06;0,0
CL00061;2023-04-06;Bogotá D.C.;Bogotá;31;M;2;Técnico/Tecnólogo;Empleado;2230000,0;2230000,0;normal;Referido;607,0;False;0;Web;1;0;1150000;1150000,0;0,31446374916033487;0,31446374916033487;2024-03-09;0,0
CL00062;2025-04-09;Bogotá D.C.;Bogotá;34;F;4;Posgrado;Independiente;2410000,0;2410000,0;normal;App orgánico;625,0;True;0;iOS;1;0;700000;700000,0;0,3529840148692503;0,3529840148692503;2025-12-17;0,0
CL00063;2023-02-04;Bogotá D.C.;Bogotá;25;F;2;Sin información;Empleado;3090000,0;3090000,0;normal;Call center;487,0;False;3;iOS;1;1;2150000;2150000,0;0,6789069336874081;0,6789069336874081;2023-08-08;1,0
CL00064;2024-01-30;Valle del Cauca;Cali;24;M;4;Universitario;Independiente;2850000,0;2850000,0;normal;Call center;528,0;False;2;Android;1;1;7800000;7800000,0;0,7576450413660373;0,7576450413660373;2025-08-03;1,0
CL00065;2024-02-07;Bogotá D.C.;Bogotá;44;M;2;Bachiller;Empleado;6290000,0;6290000,0;normal;Campaña digital;732,0;True;3;Web;2;1;10700000;5350000,0;0,2878026695769451;0,40231556414690256;2026-03-20;0,5
CL00067;2024-12-27;Bogotá D.C.;Bogotá;35;F;2;Técnico/Tecnólogo;Microempresario;3970000,0;3970000,0;normal;Campaña digital;728,0;False;0;Android;2;0;5400000;2700000,0;0,30645102595578755;0,3227640188404173;2025-07-07;0,0
CL00068;2024-03-24;Antioquia;Medellín;46;M;5;Universitario;Empleado;4810000,0;4810000,0;normal;App orgánico;739,0;True;2;Android;1;0;3200000;3200000,0;0,15515582152841523;0,15515582152841523;2024-10-03;0,0
CL00069;2023-05-20;Antioquia;Medellín;40;M;2;Universitario;Estudiante;2050000,0;2050000,0;normal;Call center;500,0;False;1;Android;1;0;2900000;2900000,0;0,6352518148677815;0,6352518148677815;2024-05-11;0,0
CL00072;2025-07-22;Bolívar;Cartagena;51;F;2;Técnico/Tecnólogo;Microempresario;2350000,0;2350000,0;normal;Campaña digital;657,0;False;2;iOS;1;0;3350000;3350000,0;0,2587611756319923;0,2587611756319923;2025-08-31;0,0
CL00073;2023-08-27;Bogotá D.C.;Bogotá;36;M;1;Técnico/Tecnólogo;Independiente;2040000,0;2040000,0;normal;App orgánico;543,0;True;1;iOS;1;1;800000;800000,0;0,625814022776843;0,625814022776843;2026-01-07;1,0
CL00074;2025-09-05;Bogotá D.C.;Bogotá;52;F;3;Bachiller;Empleado;6110000,0;6110000,0;normal;Aliado comercial;758,0;False;0;Android;1;0;4300000;4300000,0;0,1386774348139706;0,1386774348139706;2025-06-24;0,0
CL00075;2025-01-26;Antioquia;Medellín;19;F;3;Universitario;Empleado;3520000,0;3520000,0;normal;Campaña digital;588,0;True;0;Android;1;0;1400000;1400000,0;0,22224254127315696;0,22224254127315696;2026-01-08;0,0
CL00076;2024-07-27;Bogotá D.C.;Bogotá;44;F;4;Universitario;Independiente;2370000,0;2370000,0;normal;Referido;592,0;True;2;Android;1;1;900000;900000,0;0,5895152489350817;0,5895152489350817;2024-10-22;1,0
CL00077;2026-01-13;Antioquia;Medellín;37;F;4;Bachiller;Microempresario;1940000,0;1940000,0;normal;Campaña digital;580,0;True;3;Android;2;1;1650000;825000,0;0,5840780556430922;0,6418921639381262;2025-08-25;0,5
CL00078;2025-04-27;Cundinamarca;Soacha;33;F;2;Técnico/Tecnólogo;Empleado;3200000,0;3200000,0;normal;Call center;622,0;True;3;Android;1;0;1850000;1850000,0;0,2915865818114751;0,2915865818114751;2025-11-06;0,0
CL00079;2023-12-29;Atlántico;Barranquilla;37;M;2;Técnico/Tecnólogo;Pensionado;2450000,0;2450000,0;normal;Campaña digital;501,0;True;1;Android;1;0;600000;600000,0;0,4696459065118979;0,4696459065118979;2025-08-17;0,0
CL00080;2025-09-21;Risaralda;Pereira;19;M;3;Universitario;Empleado;2050000,0;2050000,0;normal;Campaña digital;589,0;False;0;Android;1;0;7700000;7700000,0;0,40878456067112284;0,40878456067112284;2026-03-12;0,0
CL00081;2023-11-05;Bolívar;Cartagena;34;F;3;Universitario;Independiente;1850000,0;1850000,0;normal;App orgánico;588,0;False;0;iOS;1;0;1450000;1450000,0;0,5140630630651555;0,5140630630651555;2025-12-29;0,0
CL00082;2023-06-04;Bogotá D.C.;Bogotá;40;M;5;Sin información;Empleado;2960000,0;2960000,0;normal;Aliado comercial;594,0;False;2;Android;1;1;5550000;5550000,0;0,5491961855532425;0,5491961855532425;2023-06-24;1,0
CL00083;2025-08-01;Antioquia;Medellín;51;M;4;Bachiller;Empleado;2390000,0;2390000,0;normal;Call center;522,0;True;0;iOS;1;0;2350000;2350000,0;0,5739157298825807;0,5739157298825807;2025-12-01;0,0
CL00086;2025-12-22;Antioquia;Medellín;31;M;2;Bachiller;Empleado;2610000,0;2610000,0;normal;Campaña digital;425,0;False;2;iOS;1;0;4050000;4050000,0;0,5650718100605087;0,5650718100605087;2025-06-13;0,0
CL00088;2024-09-25;Tolima;Ibagué;39;F;1;Universitario;Independiente;1880000,0;1880000,0;normal;App orgánico;507,0;False;0;Android;1;0;1100000;1100000,0;0,606287828647418;0,606287828647418;2025-07-04;0,0
CL00089;2025-11-10;Antioquia;Medellín;31;M;3;Técnico/Tecnólogo;Desempleado;1100000,0;1100000,0;normal;Campaña digital;440,0;True;1;iOS;2;0;2650000;1325000,0;0,4811887761511046;0,4926296971886449;2026-03-03;0,0
CL00091;2025-08-09;Valle del Cauca;Cali;37;M;3;Bachiller;Conductor/Repartidor;1830000,0;1830000,0;normal;App orgánico;497,0;True;1;Android;1;0;1000000;1000000,0;0,3253028297368838;0,3253028297368838;2026-02-07;0,0
CL00092;2023-10-14;Bogotá D.C.;Bogotá;46;M;3;Técnico/Tecnólogo;Microempresario;5300000,0;5300000,0;normal;Referido;676,0;True;0;Android;1;0;6950000;6950000,0;0,27732436939894034;0,27732436939894034;2024-08-16;0,0
CL00093;2023-07-20;Bogotá D.C.;Bogotá;29;M;4;Técnico/Tecnólogo;Comerciante;4660000,0;4660000,0;normal;App orgánico;693,0;True;4;Android;3;0;12000000;4000000,0;0,3878606696284795;0,4950189971210728;2025-12-15;0,0
CL00094;2024-11-06;Bogotá D.C.;Bogotá;33;M;5;Universitario;Desempleado;1250000,0;1250000,0;normal;Call center;602,0;False;1;Android;1;0;450000;450000,0;0,4712677878495905;0,4712677878495905;2025-07-21;0,0
CL00095;2023-08-18;Antioquia;Medellín;32;F;4;Universitario;Comerciante;2570000,0;2570000,0;normal;Campaña digital;697,0;True;1;Android;2;1;6250000;3125000,0;0,4429372051224677;0,4503407823325376;2025-10-31;0,5
CL00096;2024-08-08;Antioquia;Medellín;21;F;4;Sin información;Empleado;4410000,0;4410000,0;normal;Campaña digital;630,0;False;0;Android;2;0;7800000;3900000,0;0,28703252183055844;0,4477148937590718;2026-01-27;0,0
CL00097;2023-09-29;Meta;Villavicencio;39;M;1;Universitario;Conductor/Repartidor;2100000,0;2100000,0;normal;App orgánico;505,0;False;0;Android;1;1;3350000;3350000,0;0,8262602492411851;0,8262602492411851;2024-10-01;1,0
CL00099;2024-08-12;Santander;Bucaramanga;36;M;3;Técnico/Tecnólogo;Conductor/Repartidor;3460000,0;3460000,0;normal;Campaña digital;612,0;False;0;Android;1;0;1000000;1000000,0;0,14701939677489248;0,14701939677489248;2026-01-16;0,0
CL00100;2023-03-12;Bogotá D.C.;Bogotá;34;M;4;Universitario;Microempresario;4340000,0;4340000,0;normal;Aliado comercial;665,0;False;2;Android;1;1;1000000;1000000,0;0,318395510779478;0,318395510779478;2024-03-01;1,0
CL00101;2024-02-11;Atlántico;Barranquilla;22;M;4;Sin información;Empleado;2710000,0;2710000,0;normal;Aliado comercial;576,0;True;0;iOS;1;0;1950000;1950000,0;0,25882153609081804;0,25882153609081804;2025-09-03;0,0
CL00102;2024-05-15;Cundinamarca;Soacha;32;F;3;Bachiller;Estudiante;1120000,0;1120000,0;normal;Aliado comercial;451,0;True;0;Android;1;0;550000;550000,0;0,5988672921544979;0,5988672921544979;2025-07-27;0,0
CL00103;2025-03-01;Bogotá D.C.;Bogotá;33;M;4;Técnico/Tecnólogo;Independiente;2980000,0;2980000,0;normal;Campaña digital;646,0;False;0;Android;1;1;1850000;1850000,0;0,29062796939035024;0,29062796939035024;2025-04-11;1,0
CL00104;2025-11-28;Antioquia;Medellín;28;M;2;Sin información;Empleado;2670000,0;2670000,0;normal;Campaña digital;585,0;False;0;Android;2;0;2500000;1250000,0;0,25085727465871704;0,3909054604435647;2026-03-21;0,0
CL00105;2025-07-17;Valle del Cauca;Cali;34;F;3;Técnico/Tecnólogo;Microempresario;2570000,0;2570000,0;normal;Campaña digital;674,0;False;2;iOS;1;0;4750000;4750000,0;0,3217639230137852;0,3217639230137852;2025-08-24;0,0
CL00106;2025-11-30;Caldas;Manizales;40;M;4;Universitario;Empleado;5320000,0;5320000,0;normal;App orgánico;756,0;True;1;Android;1;0;3150000;3150000,0;0,2004346645044982;0,2004346645044982;2025-09-25;0,0
CL00107;2024-11-08;Valle del Cauca;Cali;55;F;3;Universitario;Comerciante;2570000,0;2570000,0;normal;Aliado comercial;592,0;True;1;Android;1;0;1800000;1800000,0;0,5825683569920469;0,5825683569920469;2025-09-10;0,0
CL00108;2025-11-30;Atlántico;Barranquilla;38;M;2;Técnico/Tecnólogo;Comerciante;2570000,0;2570000,0;normal;Campaña digital;596,0;False;0;iOS;3;0;6800000;2266666,6666666665;0,512840811371772;0,6592371078923787;2026-02-08;0,0
CL00109;2024-05-30;Antioquia;Medellín;39;M;3;Técnico/Tecnólogo;Pensionado;2440000,0;2440000,0;normal;Call center;600,0;False;3;Android;2;1;1500000;750000,0;0,47783649264253236;0,4787091277877739;2025-05-15;0,5
CL00110;2025-01-19;Antioquia;Medellín;35;F;2;Universitario;Pensionado;2020000,0;2020000,0;normal;Referido;497,0;True;0;Android;1;0;1400000;1400000,0;0,7044634539595038;0,7044634539595038;2025-11-12;0,0
CL00111;2023-06-19;Caldas;Manizales;19;F;2;Universitario;Independiente;1580000,0;1580000,0;normal;Campaña digital;495,0;False;1;Android;1;1;900000;900000,0;0,8414245735801309;0,8414245735801309;2024-05-11;1,0
CL00113;2024-10-21;Bolívar;Cartagena;37;F;1;Bachiller;Empleado;4830000,0;4830000,0;normal;App orgánico;706,0;True;1;Android;1;0;2050000;2050000,0;0,24277877698384573;0,24277877698384573;2025-08-04;0,0
CL00114;2023-03-03;Bogotá D.C.;Bogotá;61;M;4;Bachiller;Empleado;5200000,0;5200000,0;normal;Call center;759,0;False;1;iOS;1;0;7800000;7800000,0;0,19976078607176173;0,19976078607176173;2023-07-09;0,0
CL00115;2025-05-11;Antioquia;Medellín;34;M;5;Bachiller;Microempresario;2860000,0;2860000,0;normal;Aliado comercial;586,0;False;0;iOS;1;1;7950000;7950000,0;0,6433858966857533;0,6433858966857533;2025-06-25;1,0
CL00116;2023-07-31;Cundinamarca;Soacha;39;M;2;Bachiller;Independiente;2630000,0;2630000,0;normal;App orgánico;588,0;False;1;Android;1;0;1450000;1450000,0;0,34812252935020854;0,34812252935020854;2024-11-29;0,0
CL00117;2025-01-22;Antioquia;Medellín;36;F;3;Universitario;Empleado;2900000,0;2900000,0;normal;Aliado comercial;655,0;False;1;iOS;1;0;2150000;2150000,0;0,3103055259670385;0,3103055259670385;2025-06-26;0,0
CL00119;2023-08-15;Bogotá D.C.;Bogotá;47;F;4;Técnico/Tecnólogo;Comerciante;1930000,0;1930000,0;normal;App orgánico;613,0;True;0;Android;1;1;2700000;2700000,0;0,57211740374296;0,57211740374296;2025-06-12;1,0
CL00120;2025-09-21;Antioquia;Medellín;44;F;5;Técnico/Tecnólogo;Microempresario;2570000,0;2570000,0;normal;App orgánico;733,0;True;1;Android;1;0;4200000;4200000,0;0,22255357106795376;0,22255357106795376;2026-03-10;0,0
CL00121;2025-04-30;Bogotá D.C.;Bogotá;44;M;1;Posgrado;Empleado;890000,0;890000,0;normal;App orgánico;596,0;True;0;Android;1;1;1250000;1250000,0;0,5892174049145997;0,5892174049145997;2025-09-03;1,0
CL00123;2024-05-25;Bogotá D.C.;Bogotá;50;M;2;Bachiller;Empleado;4620000,0;4620000,0;normal;App orgánico;711,0;False;0;Android;2;0;8350000;4175000,0;0,25499509602221687;0,29672887194710923;2025-08-14;0,0
CL00125;2024-02-22;Caldas;Manizales;42;F;4;Técnico/Tecnólogo;Empleado;5500000,0;5500000,0;normal;App orgánico;678,0;True;4;iOS;1;0;2250000;2250000,0;0,2018908412260576;0,2018908412260576;2025-07-17;0,0
CL00126;2024-08-11;Antioquia;Medellín;58;M;2;Universitario;Independiente;2310000,0;2310000,0;normal;Call center;603,0;True;2;Android;1;1;750000;750000,0;0,508661187825351;0,508661187825351;2025-08-03;1,0
CL00127;2023-07-17;Bogotá D.C.;Bogotá;26;M;2;Sin información;Independiente;3180000,0;3180000,0;normal;Referido;523,0;True;2;Android;2;1;2750000;1375000,0;0,5114943386777551;0,7052341197985994;2025-01-14;0,5
CL00128;2023-02-12;Atlántico;Barranquilla;30;F;4;Universitario;Empleado;3530000,0;3530000,0;normal;Referido;630,0;False;1;Android;1;0;1150000;1150000,0;0,2654261117865588;0,2654261117865588;2024-07-03;0,0
CL00130;2023-02-27;Bogotá D.C.;Bogotá;31;M;1;Bachiller;Comerciante;1530000,0;1530000,0;normal;App orgánico;492,0;False;1;iOS;1;0;600000;600000,0;0,6546302087634795;0,6546302087634795;2024-07-22;0,0
CL00131;2023-02-20;Atlántico;Barranquilla;20;F;3;Bachiller;Microempresario;2530000,0;2530000,0;normal;App orgánico;522,0;True;0;Android;1;1;1150000;1150000,0;0,6205766599360096;0,6205766599360096;2024-12-21;1,0
CL00133;2023-01-24;Cundinamarca;Soacha;25;F;2;Técnico/Tecnólogo;Empleado;2000000,0;2000000,0;normal;Campaña digital;476,0;False;3;Web;1;1;700000;700000,0;0,5854990453772144;0,5854990453772144;2024-05-09;1,0
CL00134;2023-05-07;Bogotá D.C.;Bogotá;41;F;3;Bachiller;Empleado;2740000,0;2740000,0;normal;App orgánico;605,0;False;1;Android;1;0;2800000;2800000,0;0,2379182291773351;0,2379182291773351;2025-03-05;0,0
CL00135;2025-07-26;Tolima;Ibagué;27;M;3;Bachiller;Empleado;3720000,0;3720000,0;normal;App orgánico;632,0;True;0;Android;1;0;2250000;2250000,0;0,22012099610272695;0,22012099610272695;2026-01-01;0,0
CL00137;2025-07-22;Risaralda;Pereira;28;F;2;Universitario;Estudiante;1210000,0;1210000,0;normal;Campaña digital;491,0;True;2;iOS;1;0;2000000;2000000,0;0,4865438545329663;0,4865438545329663;2026-02-04;0,0
CL00138;2025-08-01;Bogotá D.C.;Bogotá;33;M;2;Posgrado;Empleado;2960000,0;2960000,0;normal;Aliado comercial;601,0;True;2;Web;1;0;1600000;1600000,0;0,22867373513826944;0,22867373513826944;2025-12-31;0,0
CL00139;2023-08-11;Antioquia;Medellín;44;F;3;Universitario;Empleado;2420000,0;2420000,0;normal;Aliado comercial;565,0;True;4;Android;1;1;2250000;2250000,0;0,6884038983027776;0,6884038983027776;2023-09-06;1,0
